unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
111,40,40,[],"[149, 382, 593, 630, 907, 1053, 1199, 1521, 1545, 1705, 1770, 1856, 2000, 2272, 2289, 2493, 2575, 2669, 2792, 3251, 3397, 3419, 3433, 3455, 3457, 3494, 3618, 3640, 3745, 3813, 4359]"
112,9,9,[],"[131, 147, 181, 353, 395, 523, 597, 742, 829, 1085, 1130, 1225, 1485, 1627, 1707, 1817, 2093, 2234, 2326, 2887, 2911, 3046, 3539, 3786, 3930, 4150, 4218, 4316, 4374]"
113,16,30,"[2324, 2373, 2391, 2398, 2402, 2405, 2429, 2433, 2475, 2505, 2516, 2517, 2531, 2534, 2797, 2820, 2885, 2899, 2928, 2932, 2948, 2967, 2971, 3045, 3100, 3111, 3133, 3165, 3167, 3189, 3200, 3237, 3247, 3295, 3298, 3320, 3343, 3432, 3576, 3645, 3670, 3701, 3709, 3762, 3811, 3915, 3932, 3955, 3964, 3969, 4064, 4067, 4085, 4138, 4165, 4202, 4234, 4286, 4331, 4339, 4363, 4372, 4382, 4433, 4454, 4492, 4557]","[3, 10, 103, 166, 175, 225, 237, 238, 266, 390, 404, 457, 494, 520, 563, 581, 606, 625, 685, 751, 814, 823, 1172, 1307, 1453, 1470, 1505, 1580, 1590, 1610, 1623, 1665, 1695, 1806, 2045, 2069, 2092, 2170, 2250, 2252, 2314, 2348]"
114,48,28,"[1284, 1398, 1557, 1595, 1624, 1785, 1808, 1822, 1904, 2060, 2129, 2131, 2226, 2317]","[675, 2411, 2776, 3016, 3354, 3441, 3602, 3605]"
134,3,3,"[2034, 2099, 2144, 2529, 2585, 2643, 2675, 2697, 2938, 2976, 3007, 3015, 3031, 3217, 3403, 3521, 3540, 3560, 3673, 3988, 4015, 4193, 4200, 4262]","[618, 715, 848, 861, 942, 1148, 1187, 1358, 1461, 1493, 1630, 1814, 2040, 2052, 2099, 2109, 2353, 2535, 2646, 3015, 3211, 3473, 3731, 3985, 4066, 4375, 4398]"
136,27,1,"[157, 223, 709, 736, 1359, 1394]","[2475, 2487, 2505, 2517, 2680, 2797, 2801, 2928, 2948, 2967, 2971, 3030, 3045, 3047, 3100, 3111, 3133, 3165, 3167, 3175, 3189, 3210, 3237, 3247, 3298, 3313, 3320, 3343, 3393, 3478, 3495, 3670, 3762, 3964, 3969, 4138, 4234, 4286, 4363, 4382, 4454, 4557]"
157,3,3,"[144, 347, 483, 848, 1008, 1081, 1139, 1158, 1192, 1262, 1315, 1317, 1338, 1402, 1428, 1440, 1639, 1848]","[42, 394, 540, 651, 682, 779, 973, 1069, 1401, 1452, 1574, 1598, 1645, 1700, 1892, 2118, 2126, 2140, 2325, 2672, 2684, 2884, 2903, 3355, 3837, 3876, 4122, 4524]"
158,21,43,"[3445, 3450, 3629, 3644, 3667, 3677, 3689, 3725, 3732, 3774, 3781, 3817, 3820, 3845, 3853, 3854, 3890, 3892, 3902, 3970, 3974, 3983, 4001, 4017, 4030, 4033, 4143, 4152, 4254, 4272, 4304, 4329, 4357, 4412, 4501, 4515, 4535, 4553]","[15, 43, 70, 104, 177, 188, 196, 200, 213, 258, 280, 299, 391, 510, 560, 603, 604, 639, 673, 825, 885, 887, 943, 970, 1002, 1022, 1102, 1159, 1197, 1226, 1301, 1406, 1479, 1802, 1891, 1951, 1955, 2002, 2080, 2148, 2167, 2764, 3367, 3368]"
159,1,1,"[24, 54, 61, 80, 183, 265, 281, 349, 433, 463, 642, 690, 707, 729, 733, 783, 790, 851, 852, 863, 951, 1027, 1252, 1272, 1372, 1442, 1517, 1520, 1522, 1532, 1603, 1688, 1750, 1752, 1757, 1764, 1772, 2012, 2127, 2229, 2253, 2271, 2328, 2538, 2563, 2593, 2626, 2739, 2773, 2776, 2780, 2816, 2819, 2852, 2857, 2917, 2972, 3116, 3275, 3285, 3313, 3354, 3358, 3462, 3597, 3605, 3726, 3806, 3884, 3920, 3926, 3975, 3982, 4025, 4040, 4049, 4096, 4119, 4157, 4204, 4249, 4305, 4362, 4366, 4424, 4549]","[65, 157, 201, 223, 290, 297, 315, 373, 386, 401, 479, 486, 517, 580, 678, 736, 791, 913, 1023, 1052, 1105, 1304, 1319, 1326, 1370, 1394, 1517, 1596, 1686, 1743, 1778, 1909, 1986, 2009, 2031, 2096, 2324, 2391, 2398, 2402, 2433]"
180,5,43,"[2485, 2488, 2541, 2565, 2583, 2605, 2640, 2652, 2699, 2714, 2715, 2733, 2751, 2755, 2790, 2808, 2822, 2887, 2910, 2913, 2950, 2953, 3005, 3046, 3066, 3079, 3086, 3089, 3092, 3172, 3182, 3211, 3220, 3235, 3256, 3262, 3329, 3352, 3360, 3366, 3379, 3411, 3456, 3470, 3492, 3517, 3539, 3570, 3595, 3633, 3650, 3710, 3753, 3759, 3786, 3837, 3868, 3930, 3967, 3971, 4024, 4044, 4077, 4084, 4093, 4113, 4141, 4150, 4197, 4210, 4218, 4251, 4289, 4297, 4309, 4325, 4367, 4374, 4375, 4409, 4416, 4438, 4442, 4457, 4511, 4527, 4545, 4564]","[2276, 2393, 2480, 2482, 2507, 2572, 2573, 2574, 2580, 2732, 2805, 2831, 2839, 2850, 2864, 2978, 2991, 3040, 3206, 3242, 3246, 3258, 3309, 3319, 3328, 3362, 3417, 3436, 3502, 3532, 3537, 3561, 3752, 3768, 3851, 3989, 4072, 4107, 4170, 4221, 4384, 4427]"
