unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
5,3,40,"[1486, 1545, 1630, 1639, 1645, 1705, 1761, 1770, 1848, 1856, 1939, 1987, 2034]","[32, 139, 1224, 1242, 1705, 1770, 2000, 2297, 2307, 2493, 3222, 3251, 3419, 3433, 3465, 3640, 3680, 3874, 4519, 4550]"
6,35,35,"[77, 189, 331, 379, 453, 507, 599, 621, 624, 655, 771, 926, 980, 1037, 1155, 1362, 1411, 1513, 1782, 1824, 2091, 2160, 2251, 2318, 2608, 2660, 2708, 2748, 2815, 2984, 3003, 3063, 3263, 3387, 3402, 3413, 3548, 3628, 3727, 3740, 3802, 3913, 4005, 4244, 4328, 4423, 4468, 4554]","[77, 83, 116, 189, 331, 379, 412, 434, 453, 466, 507, 599, 655, 670, 680, 724, 728, 766, 771, 931, 980, 1037, 1078, 1155, 1175, 1341, 1362, 1411, 1513, 1515, 1578, 1597, 1599, 1621, 1628, 1703, 1706, 1767, 1782, 1868, 1925, 2091, 2100, 2160, 2166, 2251, 2318, 2415, 2748, 2815, 2843, 2984, 3003, 3098, 3120, 3240, 3263, 3287, 3387, 3402, 3452, 3488, 3548, 3591, 3628, 3685, 3727, 3757, 3802, 3832, 3940, 3984, 4010, 4069, 4114, 4240, 4277, 4279, 4290, 4328, 4423, 4485, 4509, 4554]"
7,53,53,"[2212, 2240, 2242, 2277, 2288, 2295, 2319, 2360, 2380, 2381, 2397, 2431, 2450, 2469, 2500, 2558, 2653, 2673, 2686, 2721, 2728, 2730, 2743, 2745, 2785, 2974, 3067, 3068, 3075, 3084, 3106, 3127, 3145, 3187, 3209, 3227, 3268, 3307, 3369, 3401, 3418, 3447, 3469, 3481, 3533, 3538, 3593, 3620, 3649, 3735, 3773, 3883, 3885, 3928, 3968, 4011, 4048, 4074, 4082, 4164, 4183, 4212, 4216, 4242, 4250, 4292, 4315, 4353, 4421, 4428, 4446, 4447, 4480, 4516, 4566]","[1, 13, 110, 264, 330, 340, 365, 376, 377, 381, 437, 543, 566, 614, 656, 666, 687, 698, 710, 740, 832, 920, 944, 963, 1132, 1147, 1191, 1249, 1273, 1418, 1425, 1650, 1715, 1749, 1769, 1794, 1803, 1919, 1979, 2024, 2086, 2101, 2114, 2128, 2159, 2342, 2381, 2397, 2500, 2521, 2558, 2648, 2653, 2723, 2753, 2858, 2974, 3037, 3049, 3068, 3084, 3145, 3227, 3307, 3481, 3544, 3549, 3622, 3707, 3716, 3944, 4004, 4018, 4020, 4055, 4099, 4250, 4353, 4402, 4447, 4480, 4490, 4516]"
28,3,2,"[3813, 3933, 3988, 3999, 4015, 4190, 4193, 4200, 4227, 4262, 4430, 4567]","[87, 144, 912, 1021, 1081, 1192, 1292, 1402, 1428, 1440, 1486, 1497, 2034, 2643, 2883, 3403, 3521, 3560, 3638, 4370, 4567]"
29,33,34,"[28, 53, 208, 238, 277, 278, 304, 311, 339, 351, 404, 442, 561, 629, 774, 780, 785, 889, 971, 1128, 1156, 1179, 1193, 1202, 1307, 1379, 1453, 1467, 1488]","[976, 1173, 1235, 1667, 1865, 1898, 1988, 2169, 2392, 2477, 2548, 2703, 3136, 3178, 3266, 3304, 3323, 3332, 3339, 3342, 3344, 3398, 3675, 3721, 3733, 3831, 3865, 3918, 3951, 3960, 3993, 4056, 4127, 4135, 4186, 4187, 4207, 4214, 4231, 4259, 4263, 4267, 4273, 4318]"
30,14,29,"[3284, 3353, 3359, 3375, 3377, 3464, 3479, 3510, 3513, 3581, 3623, 3663, 3699, 3724, 3789, 3826, 4058, 4087, 4118, 4174, 4185, 4194, 4206, 4327, 4348]","[92, 108, 148, 163, 212, 303, 327, 375, 440, 536, 598, 610, 713, 732, 745, 820, 865, 873, 909, 997, 1028, 1103, 1106, 1135, 1150, 1295, 1350, 1363, 1389, 1531, 1542, 1573, 1664, 2137, 2212, 2319, 2380, 2728, 3369, 3446, 3649, 3773, 4216]"
50,2,2,[],"[347, 362, 483, 1120, 1137, 1208, 1815, 1847, 1987, 2079, 2144, 2174, 2183, 2332, 3815, 4015, 4190, 4200, 4211, 4418, 4430]"
51,9,5,"[41, 42, 58, 78, 127, 128, 131, 147, 207, 254, 320, 353, 361, 369, 395, 439, 546, 597, 600, 632, 648, 667, 682, 742, 750, 761, 779, 796, 827, 846, 858, 861, 890, 1004, 1005, 1060, 1079, 1083, 1085, 1130, 1213, 1227, 1266, 1334, 1371, 1400]","[1852, 2059, 2155, 2335, 2440, 2513, 2616, 2622, 2704, 2726, 2814, 2908, 2919, 2953, 2956, 2957, 2990, 3267, 3321, 3345, 3360, 3371, 3483, 3489, 3579, 3592, 3665, 3682, 3849, 3879, 4009, 4023, 4045, 4046, 4199, 4217, 4343, 4457, 4478, 4498, 4504, 4534]"
52,34,34,"[45, 101, 143, 176, 193, 219, 222, 242, 251, 263, 264, 360, 402, 443, 475, 482, 612, 647, 650, 671, 691, 712, 718, 832, 900, 915, 1016, 1099, 1122, 1231, 1261, 1340, 1368, 1381, 1445, 1494, 1564, 1568, 1612, 1650, 1689, 1749, 1754, 1780, 1796, 1803, 1813, 1919, 1944, 1949, 1959, 1966, 1969, 2026, 2051, 2128, 2142, 2186, 2189, 2199, 2213, 2279]","[176, 274, 312, 345, 399, 416, 445, 512, 586, 723, 826, 837, 933, 1012, 1163, 1248, 1255, 1321, 1655, 1658, 1716, 1754, 1766, 1828, 1912, 1929, 2134, 2215, 2403, 2452, 2568, 2594, 2598, 2635, 2685, 2696, 2898, 2961, 3023, 3077, 3082, 3177]"
53,26,26,"[24, 37, 54, 61, 95, 113, 157, 183, 221, 223, 265, 281, 292, 349, 368, 406, 433, 463, 479, 607, 642, 690, 707, 709, 729, 733, 736, 782, 783, 787, 790, 794, 834, 844, 852, 863, 906, 951, 1052, 1214, 1233, 1252, 1272, 1359, 1372, 1394, 1442, 1459, 1522, 1532, 1603, 1688, 1752, 1757, 1764, 1772, 2012, 2127, 2229, 2253, 2271, 2328, 2425, 2487, 2538, 2563, 2591, 2593, 2626, 2632, 2739, 2773, 2776, 2780, 2801, 2807, 2819, 2852, 2857, 2907, 2940, 2972, 2979, 3047, 3114, 3116, 3118, 3238, 3275, 3285, 3297, 3354, 3358, 3441, 3462, 3512, 3597, 3605, 3624, 3653, 3697, 3806, 3884, 3898, 3920, 3950, 3975, 3982, 4025, 4040, 4050, 4096, 4119, 4182, 4204, 4249, 4305, 4347, 4362, 4366, 4424, 4434, 4443, 4460, 4461, 4475, 4500, 4549, 4562]","[20, 37, 73, 93, 221, 276, 372, 406, 456, 470, 485, 495, 505, 601, 607, 748, 821, 870, 911, 983, 1118, 1214, 1216, 1233, 1459, 1468, 1529, 1734, 1836, 1945, 2011, 2184, 2198, 2239, 2291, 2306, 2425, 2597, 2623, 2709, 2811, 2901, 2979, 3353]"
