unique_satellite_id,predicted_gateways,actual_gateway_id,assigned_cells,actual_cell_ids
484,"[0, 1]",17,"[4314, 4249]","[18, 169, 180, 216, 262, 393, 477, 487, 513, 525, 635, 708, 731, 845, 1104, 1141, 1145, 1194, 1198, 1278, 1322, 1344, 1420, 1490, 1617, 1618, 1696, 1710, 1760, 1844, 1850, 1857, 1895, 2016, 2230, 2231, 2243, 2245, 2260, 2269, 2338, 2370, 2551, 2677, 2681, 2746, 2826, 2853, 2866, 2881, 2944, 3051, 3052, 3099, 3162, 3168, 3194, 3204, 3264, 3288, 3382, 3390, 3453, 3475, 3497, 3518, 3566, 3642, 3648, 3860, 3921, 3934, 3935, 3941, 3979, 4042, 4081, 4088, 4198, 4346, 4379, 4397, 4451, 4547]"
485,"[0, 1]",50,"[4350, 4305]","[243, 342, 530, 711, 717, 756, 804, 922, 945, 949, 988, 1376, 1510, 1540, 1799, 1994, 2049, 2077, 2351, 2417, 2434, 2554, 2637, 2759, 2804, 2834, 2872, 2897, 2905, 2954, 3032, 3158, 3281, 3324, 3415, 3734, 4158, 4223, 4274, 4301, 4373, 4387, 4432, 4494]"
486,"[0, 1]",48,"[4380, 4362]","[265, 281, 433, 690, 729, 782, 783, 1372, 2229, 2271, 2593, 2773, 2780, 3462, 3975, 4204, 4362]"
507,"[0, 1]",42,[4466],"[5, 46, 50, 134, 135, 184, 246, 306, 357, 385, 389, 411, 545, 571, 755, 856, 957, 1036, 1058, 1089, 1165, 1228, 1290, 1318, 1353, 1355, 1399, 1403, 1426, 1475, 1503, 1536, 1575, 1713, 1728, 1805, 1888, 1938, 1963, 1999, 2023, 2190, 2262, 2496, 2612, 2615, 2631, 2769, 2775, 2862, 2939, 2981, 2987, 3042, 3050, 3061, 3062, 3071, 3090, 3131, 3155, 3439, 3477, 3519, 3535, 3552, 3554, 3625, 3678, 3712, 3793, 3809, 3838, 3871, 3929, 4142, 4195, 4237, 4271, 4340, 4420, 4436, 4455, 4479]"
508,"[0, 1]",29,[4471],"[327, 440, 610, 745, 909, 997, 1664, 2137, 2212, 2319, 2380, 2728, 3020, 3021, 3214, 3292, 3301, 3363, 3369, 3386, 3430, 3437, 3446, 3505, 3523, 3525, 3589, 3616, 3649, 3651, 3684, 3696, 3754, 3773, 3888, 3972, 4022, 4082, 4125, 4160, 4216, 4238, 4513, 4518]"
509,"[0, 1]",28,[4520],"[1119, 1785, 2129, 2376, 2528, 2705, 2710, 3660, 3977]"
530,"[0, 1]",37,"[316, 321, 270]","[173, 224, 326, 465, 903, 1209, 1337, 1397, 1482, 1544, 1602, 1604, 1657, 1673, 1744, 1810, 1935, 2066, 2098, 2349, 2396, 2401, 2478, 2510, 2520, 2599, 2611, 2639, 2762, 2875, 2959, 2968, 3277, 3449, 3534, 3730, 3796, 3889, 4136, 4293, 4335, 4452]"
531,"[0, 1]",26,"[335, 338, 281]","[20, 37, 73, 93, 205, 221, 276, 372, 406, 456, 470, 485, 495, 505, 601, 607, 748, 821, 831, 870, 911, 968, 983, 1118, 1214, 1216, 1233, 1291, 1327, 1382, 1459, 1468, 1529, 1550, 1734, 1836, 1911, 1945, 2011, 2055, 2184, 2198, 2239, 2291, 2306, 2425, 2597, 2623, 2709, 2798, 2811, 2901, 2979, 3161, 3284, 3353, 3359, 3377, 3479, 3510, 3513, 3581, 3645, 3653, 3663, 3699, 3724, 3826, 3898, 3950, 3955, 4058, 4087, 4118, 4165, 4174, 4194, 4206, 4327, 4347, 4443, 4460, 4461, 4475, 4492]"
553,"[0, 1]",13,"[877, 883, 707]","[57, 75, 182, 244, 869, 1638, 1779, 2161, 2613, 2794, 3508, 3723, 3822, 3904, 4196, 4378]"
576,"[0, 1]",13,"[1017, 1028, 790]","[451, 529, 1009, 1121, 1589, 1622, 1671, 1722, 2737, 2846, 2916, 3081, 3223, 3225, 3346, 4167, 4253]"
1341,"[0, 1]",41,"[2724, 2741]","[6, 145, 194, 511, 569, 588, 1054, 1584, 1636, 1917, 1942, 1957, 2005, 2030, 2115, 2379, 2738, 2744, 2750, 2931, 2949, 3122, 3216, 3409, 3777, 3992, 4232, 4439]"
1364,"[0, 1]",38,"[2841, 2793]","[160, 164, 230, 332, 623, 638, 644, 797, 833, 875, 924, 952, 960, 965, 1050, 1123, 1140, 1166, 1206, 1223, 1324, 1339, 1349, 1385, 1412, 1424, 1454, 1579, 1679, 1712, 1789, 1831, 1918, 1952, 1970, 1982, 1998, 2001, 2004, 2107, 2197, 2261, 2305]"
1386,"[0, 1]",7,"[3013, 2857]","[48, 56, 84, 94, 203, 227, 247, 337, 367, 478, 519, 533, 652, 662, 684, 689, 817, 994, 1000, 1015, 1056, 1168, 1171, 1343, 1423, 1434, 1551, 1572, 1632, 1663, 1674, 1783, 1838, 1843, 1876, 1921, 1931, 1943, 2022, 2039, 2067, 2084]"
1387,"[0, 1]",49,"[3060, 2917]","[36, 126, 142, 151, 431, 450, 471, 568, 741, 757, 886, 962, 974, 1003, 1006, 1097, 1101, 1108, 1230, 1281, 1431, 1456, 1464, 1465, 1504, 1577, 1591, 1747, 1781, 1786, 2008, 2017, 2065, 2085, 2138, 2188, 2206, 2224, 2241, 2286, 2296]"
1388,"[0, 1]",36,"[3141, 2945]","[250, 695, 762, 824, 1080, 1186, 1614, 1704, 1883, 1976, 1985, 2176, 2337, 2347, 2419, 2550, 2600, 2604, 2683, 2964, 3336, 3719, 3862, 3878, 3881, 4051, 4105, 4230]"
1409,"[0, 1]",39,"[3252, 3275]","[16, 34, 81, 96, 100, 122, 168, 190, 234, 255, 257, 309, 310, 403, 420, 491, 582, 738, 754, 798, 818, 898, 904, 987, 998, 1183, 1298, 1352, 1405, 1449, 1495, 1507, 1559, 1571, 1606, 1630, 1649, 1879, 1936, 1948, 2789, 3792]"
1410,"[0, 1]",44,"[3296, 3285]","[114, 132, 154, 240, 248, 288, 374, 527, 596, 620, 703, 896, 925, 935, 969, 1247, 1294, 1300, 1328, 1378, 1386, 1415, 1416, 1441, 1476, 1509, 1524, 1560, 2266, 2330, 2865, 3157, 3174, 3327, 3555, 3582, 3587, 3782, 3833, 3859, 4089]"
1411,"[0, 1]",36,"[3306, 3313]","[252, 417, 574, 686, 901, 1038, 1205, 1313, 1342, 1427, 1554, 1753, 1870, 2113, 2156, 2219, 2275, 2443, 2523, 2842, 3400, 3420, 3590, 3737, 3973, 4026, 4361, 4517]"
1432,"[0, 1]",51,"[3466, 3597]","[107, 130, 506, 664, 668, 838, 992, 1040, 1092, 1174, 1189, 1246, 1437, 1670, 1699, 1745, 2072, 2132, 2162, 2280, 2385, 2621, 2758, 2849, 3212, 3234, 3243, 3347, 3482, 3556, 3758, 3797, 4029, 4078, 4123, 4132, 4161, 4171, 4172, 4225, 4266, 4445, 4448]"
1434,"[0, 1]",36,"[3527, 3601]","[4, 25, 44, 344, 397, 460, 553, 767, 792, 839, 840, 1043, 1115, 1419, 1875, 2018, 2041, 2083, 2221, 2720, 2821, 2847, 3113, 3293, 3459, 3545, 4201, 4215, 4256, 4523]"
1454,"[0, 1]",2,"[3749, 3763]","[91, 919, 1203, 1232, 1283, 1514, 1815, 2332, 3637, 3638, 3690, 3807, 3823, 3912, 4184, 4211, 4280, 4510]"
1455,"[0, 1]",49,"[3771, 3806]","[2357, 2406, 2414, 2445, 2474, 2694, 2765, 2844, 2845, 2896, 2918, 2922, 3011, 3035, 3076, 3105, 3164, 3226, 3241, 3384, 3443, 3567, 3580, 3598, 3641, 3775, 3840, 3841, 3870, 3887, 3896, 3931, 3958, 4252, 4326, 4333, 4334, 4354, 4414, 4459, 4474, 4496]"
1456,"[0, 1]",52,"[3798, 3884]","[7, 39, 40, 106, 133, 187, 228, 253, 328, 380, 408, 436, 514, 516, 555, 570, 692, 704, 769, 781, 1204, 1258, 1270, 1323, 1393, 1446, 1472, 1487, 1512, 1535, 1634, 1694, 1708, 1720, 1742, 1788, 1881, 1905, 1922, 1974, 1997, 2195, 2210, 2258, 2343, 2378, 2384, 2479, 2543, 2595, 2619, 2667, 2700, 2727, 2836, 3017, 3018, 3097, 3148, 3218, 3228, 3232, 3396, 3407, 3448, 3491, 3498, 3557, 3564, 3631, 3765, 3867, 4003, 4008, 4013, 4028, 4115, 4283, 4313, 4358, 4431, 4437, 4493, 4495, 4539]"
1457,"[0, 1]",24,"[3855, 3920]","[85, 125, 195, 335, 474, 850, 877, 975, 1071, 1084, 1087, 1234, 1333, 1444, 1458, 1548, 1549, 1683, 1691, 1827, 1894, 1928, 2029, 2207, 2208, 2372, 2412, 2650, 2668, 2813, 2825, 2830, 2832, 3024, 3451, 3466, 3714, 3836, 4163, 4371, 4394, 4425]"
1477,"[0, 1]",40,"[4126, 3987]","[139, 165, 285, 587, 669, 722, 1072, 1312, 1770, 1960, 2307, 2665, 2669, 2871, 2975, 3112, 3198, 3476, 3494, 3824, 4321, 4386]"
1478,"[0, 1]",40,"[4128, 4025]","[32, 1224, 1299, 1705, 2000, 2289, 2297, 2493, 2575, 2792, 3248, 3251, 3419, 3465, 3640, 3693, 3813, 3874, 4287, 4550]"
1479,"[0, 1]",20,"[4134, 4040]","[0, 12, 269, 313, 518, 532, 627, 683, 784, 847, 880, 953, 977, 982, 1046, 1126, 1162, 1177, 1190, 1271, 1293, 1404, 1414, 1496, 1586, 1620, 1748, 1771, 2073, 2075, 2112, 2122, 2147, 2157, 2182, 2202, 2246, 2265, 2268, 2311, 2399, 2494, 2495, 2526, 2559, 2588, 2771, 2786, 2806, 2824, 2921, 2983, 2985, 3012, 3166, 3188, 3249, 3250, 3257, 3334, 3370, 3376, 3412, 3440, 3468, 3509, 3522, 3671, 3779, 3810, 3847, 3909, 3938, 3947, 3976, 4012, 4035, 4060, 4065, 4068, 4071, 4097, 4323, 4465]"
1480,"[0, 1]",13,"[4151, 4049]","[76, 117, 538, 807, 1396, 1687, 1711, 1867, 2057, 2395, 2840, 2999, 3335, 3395, 3801, 4224, 4506]"
1500,"[0, 1]",3,"[4233, 4119]","[651, 866, 973, 1148, 1358, 1461, 1493, 1574, 1645, 1731, 1840, 2052, 2099, 2118, 2126, 2428, 2672, 2684, 2822, 2884, 2903, 3355, 3731, 3876, 4113, 4227, 4375, 4398]"
1501,"[0, 1]",46,"[4248, 4157]","[161, 218, 301, 350, 383, 464, 537, 564, 589, 631, 701, 800, 815, 816, 836, 902, 934, 950, 1075, 1088, 1152, 1245, 1332, 1366, 1553, 1570, 1600, 1637, 1677, 1719, 1726, 1791, 1823, 2074, 2143, 2247, 2255, 2256, 2316, 2361, 2467, 2483, 2485]"
1502,"[0, 1]",37,"[4306, 4181]","[21, 27, 325, 366, 405, 432, 448, 548, 941, 1025, 1044, 1238, 1325, 1375, 1499, 1555, 1583, 1685, 1784, 1900, 1954, 2070, 2211, 2232, 2281, 2448, 2490, 2664, 2711, 2749, 3101, 3318, 3356, 3422, 3572, 3772, 3844, 4102, 4245, 4275, 4391, 4441, 4555]"
1503,"[0, 1]",13,"[4310, 4204]","[209, 308, 498, 584, 634, 699, 1498, 1908, 2185, 2344, 2471, 2752, 3115, 3799, 3924, 3995]"
1523,"[0, 1]",39,"[4394, 4366]","[2003, 2042, 2121, 2150, 2227, 2235, 2278, 2491, 2499, 2512, 2536, 2868, 2914, 2935, 2994, 3074, 3088, 3095, 3351, 3570, 3575, 3595, 3626, 3686, 3687, 3711, 3784, 3785, 3804, 3839, 3894, 3957, 4084, 4093, 4110, 4129, 4177, 4251, 4309, 4342, 4558, 4563]"
1524,"[0, 1]",51,"[4403, 4424]","[355, 657, 681, 753, 822, 830, 1034, 1055, 1062, 1170, 1264, 1279, 1392, 1439, 1457, 1511, 1714, 1741, 1841, 1842, 1927, 1980, 2046, 2068, 2264, 2390, 2540, 2577, 2624, 2688, 2702, 2781, 2900, 2909, 3154, 3272, 3276, 3691, 3694, 3914, 4047, 4108, 4560]"
1525,"[0, 1]",0,"[4463, 4549]","[49, 137, 179, 232, 316, 321, 343, 421, 429, 459, 476, 535, 554, 608, 658, 744, 759, 897, 984, 986, 996, 1017, 1033, 1124, 1129, 1211, 1219, 1222, 1268, 1345, 1365, 1387, 1390, 1407, 1430, 1528, 1594, 1672, 1730, 1755, 1804, 1897, 1924, 1956, 2028, 2063, 2097, 2108, 2110, 2117, 2333, 2355, 2356, 2365, 2447, 2532, 2571, 2656, 2657, 2676, 2679, 2725, 2936, 3013, 3029, 3060, 3070, 3252, 3374, 3463, 3705, 3798, 3855, 4062, 4126, 4148, 4151, 4180, 4188, 4220, 4233, 4306, 4314, 4380, 4403, 4520]"
1526,"[0, 1]",13,[4464],"[47, 521, 1347, 1361, 1526, 1932, 2105, 2461, 2770, 3310, 3406, 3848, 3953, 4002, 4246, 4299, 4364]"
1546,"[0, 1]",5,"[174, 185, 80]","[120, 334, 454, 667, 796, 1030, 1196, 1254, 1391, 1718, 1852, 1933, 1972, 2622, 2704, 2814, 2906, 2908, 2957, 3350, 3360, 3371, 3599, 4009, 4343, 4498, 4504, 4514]"
1547,"[0, 1]",35,"[195, 198, 183]","[77, 83, 116, 189, 331, 379, 412, 434, 453, 466, 507, 599, 655, 670, 680, 724, 728, 766, 771, 931, 980, 1037, 1078, 1175, 1411, 1597, 1599, 1621, 1628, 1767, 2091, 2166, 2748, 3003, 3387, 3402, 3628, 3757, 3802, 3984, 4485]"
1548,"[0, 1]",24,"[244, 308, 265]","[140, 170, 185, 198, 338, 354, 747, 764, 883, 979, 1061, 1113, 1133, 1151, 1180, 1200, 1331, 1666, 1732, 1762, 1812, 1880, 2267, 2310, 2455, 2617, 2965, 3141, 3191, 3224, 3296, 3306, 3619, 3749, 3771, 4095, 4134, 4153, 4350, 4463, 4464, 4466, 4471]"
1568,"[0, 1]",2,"[535, 554, 463]","[245, 362, 611, 884, 893, 1120, 1208, 1292, 1847, 2158, 2294, 2375, 3815, 4413, 4418, 4422, 4522]"
1569,"[0, 1]",46,"[658, 688, 642]","[2506, 2565, 2733, 2755, 2799, 2817, 2828, 2890, 2943, 3001, 3005, 3038, 3043, 3137, 3182, 3235, 3472, 3492, 3611, 3613, 3617, 3634, 3728, 3742, 3747, 3769, 3842, 3869, 3942, 3954, 3956, 4036, 4083, 4269, 4297, 4381, 4404, 4416, 4488, 4544, 4561]"
1570,"[0, 1]",47,"[744, 747, 675]","[719, 773, 789, 868, 876, 895, 936, 954, 1026, 1066, 1068, 1074, 1229, 1267, 1285, 1316, 1471, 1491, 1635, 1644, 1825, 1914, 2033, 2047, 2062, 2193, 2439, 2501, 2518, 2584, 3160, 3201, 3282, 3408, 3458, 3562, 3578, 3688, 3803, 3943, 4054, 4061]"
1571,"[0, 1]",15,"[764, 850, 690]","[29, 72, 152, 174, 249, 296, 414, 427, 500, 502, 617, 622, 688, 813, 835, 882, 892, 899, 956, 1011, 1045, 1094, 1138, 1146, 1178, 1289, 1309, 1388, 1408, 1438, 1588, 1646, 1647, 1659, 1676, 1763, 1773, 1816, 1863, 1916, 2038, 2111, 2119, 2259, 2360, 2363, 2364, 2432, 2661, 2743, 2787, 2800, 2841, 2878, 2930, 2955, 3006, 3187, 3202, 3219, 3268, 3271, 3418, 3490, 3515, 3520, 3527, 3533, 3550, 3586, 3604, 3928, 3978, 4011, 4128, 4130, 4212, 4242, 4248, 4310, 4319, 4324, 4352, 4407, 4467, 4486, 4546]"
