unique_satellite_id,predicted_gateways,actual_gateway_id,assigned_cells,actual_cell_ids
119,"[0, 1]",40,"[1268, 1289, 1372]","[62, 593, 643, 907, 938, 1286, 1856, 1996, 2503, 2823, 3171, 3373, 3397, 3571, 3618, 3680, 3916, 4131, 4219, 4519]"
120,"[0, 1]",9,"[1309, 1331, 1442]","[58, 147, 207, 320, 523, 546, 648, 858, 1265, 1334, 1485, 1662, 1817, 1913, 2093, 2234, 2368, 2484, 2488, 2605, 2911, 3256, 3366, 3405, 3539, 3971, 4141, 4316]"
121,"[0, 1]",27,"[1333, 1365, 1517]","[101, 256, 294, 341, 402, 407, 443, 595, 697, 718, 776, 910, 972, 1185, 1320, 1340, 1410, 1502, 1725, 1821, 2089, 2225, 2373, 2382, 2429, 2458, 2516, 2745, 2820, 2827, 2861, 2885, 3039, 3053, 3295, 3401, 3432, 3701, 3709, 3811, 3915, 4067, 4073, 4085, 4175, 4202, 4331, 4339, 4433]"
122,"[0, 1]",28,"[1408, 1430, 1520]","[270, 790, 1764, 2411, 2589, 2945, 3601, 3602, 4396]"
142,"[0, 1]",3,"[1444, 1458, 1522]","[41, 361, 394, 715, 942, 1069, 1401, 1452, 1700, 1724, 1892, 2015, 2040, 2109, 2140, 2204, 2304, 2535, 2646, 2697, 3211, 3388, 3837, 3843, 3991, 4122, 4166, 4524]"
143,"[0, 1]",43,"[1548, 1549, 1532]","[15, 43, 70, 88, 104, 177, 188, 196, 200, 213, 258, 280, 299, 391, 510, 560, 603, 604, 639, 673, 825, 885, 887, 943, 970, 1022, 1102, 1159, 1197, 1226, 1301, 1406, 1479, 1802, 1891, 2167, 2572, 2573, 3242, 3319, 3367, 4384]"
144,"[0, 1]",1,"[1594, 1666, 1595]","[65, 157, 201, 223, 290, 297, 315, 373, 386, 401, 479, 486, 517, 580, 678, 736, 791, 863, 913, 1023, 1052, 1105, 1304, 1319, 1326, 1370, 1394, 1517, 1596, 1686, 1743, 1778, 1909, 1986, 2009, 2031, 2096, 2324, 2391, 2398, 2402, 2433, 2475]"
165,"[0, 1]",9,"[1672, 1683, 1603]","[279, 293, 504, 597, 742, 1029, 1079, 1225, 1400, 1627, 1629, 2187, 2640, 2699, 2790, 2808, 2887, 3046, 3086, 3092, 3517, 3710, 3786, 3967, 4024, 4109, 4150, 4218, 4377]"
166,"[0, 1]",43,"[1691, 1730, 1688]","[1951, 1955, 2002, 2080, 2276, 2393, 2480, 2482, 2507, 2574, 2732, 2764, 2805, 2831, 2839, 2850, 2864, 2978, 2991, 3040, 3206, 3246, 3258, 3309, 3328, 3362, 3368, 3417, 3436, 3502, 3532, 3537, 3561, 3752, 3768, 3851, 3989, 4072, 4107, 4170, 4221, 4427]"
167,"[0, 1]",48,"[1732, 1755, 1750]","[183, 642, 709, 1442, 2538, 2591, 2626, 3118, 3238, 3275, 3285, 3512, 3884, 4157, 4182, 4434, 4562]"
187,"[0, 1]",23,"[1762, 1763, 1752]","[22, 115, 146, 159, 469, 559, 793, 859, 1039, 1210, 1297, 1303, 1533, 1651, 1678, 1765, 1775, 1790, 1792, 1950, 1953, 2106, 2171, 2647, 2904, 2988, 3022, 3180, 3274, 3311, 3662, 3761, 3827, 4076, 4330, 4472]"
188,"[0, 1]",5,"[1804, 1812, 1757]","[2, 23, 99, 138, 387, 605, 961, 1090, 1143, 1893, 2155, 2440, 2513, 2616, 2726, 2919, 2933, 2990, 3103, 3321, 3345, 3592, 3682, 4023, 4199, 4457, 4478, 4534]"
