unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
5,3,2,"[1705, 1761, 1770, 1848, 1856, 1939, 1987, 2034, 2099, 2144, 2529, 2585, 2643, 2669, 2675]","[144, 1021, 1154, 1192, 1317, 1357, 1402, 1428, 1486, 1497, 3521, 3988, 4015, 4193]"
6,35,35,"[28, 38, 39, 40, 53, 74, 116, 208, 214, 239, 241, 253, 277, 298, 380, 434, 484, 522, 531, 555, 692, 724, 728, 743, 760, 780, 785, 918, 1078, 1095, 1156, 1202, 1308, 1364, 1446, 1487, 1515, 1519, 1535, 1578, 1634, 1723, 1868, 1881, 1905, 1961, 1977, 1984, 1997, 2006, 2044, 2100, 2102, 2125, 2141, 2175, 2180, 2195, 2217, 2233, 2287, 2303, 2359, 2415, 2476, 2547, 2557, 2595, 2649, 2700, 2716, 2727, 2795, 2809, 2836, 2867, 2892, 3018, 3098, 3120, 3135, 3185, 3193, 3233, 3240, 3260, 3287, 3322, 3330, 3331, 3364, 3407, 3480, 3488, 3491, 3498, 3591, 3608, 3635, 3636, 3652, 3672, 3685, 3695, 3751, 3760, 3790, 3795, 3816, 3832, 3852, 3861, 3867, 3940, 4010, 4028, 4069, 4103, 4114, 4191, 4222, 4240, 4241, 4277, 4279, 4290, 4389, 4431, 4469, 4499]","[77, 83, 116, 189, 331, 379, 412, 434, 453, 466, 507, 599, 655, 670, 680, 724, 766, 931, 980, 1175, 1341, 1411, 1597, 1599, 1621, 1628, 1703, 1706, 1767, 1925, 2166, 2748, 2843, 3003, 3387, 3402, 3757, 3802, 3984, 4485, 4509]"
7,37,53,"[21, 29, 72, 85, 137, 174, 179, 224, 232, 244, 249, 296, 316, 321, 325, 338, 342, 343, 365, 366, 377, 405, 414, 421, 429, 432, 448, 465, 476, 500, 502, 535, 548, 554, 566, 608, 614, 617, 622, 687, 698, 717, 744, 759, 813, 835, 882, 883, 897, 941, 956, 963, 984, 1011, 1017, 1025, 1033, 1044, 1045, 1094, 1113, 1124, 1129, 1146, 1147, 1178, 1191, 1209, 1211, 1219, 1222, 1238, 1268, 1325, 1337, 1345, 1365, 1387, 1388, 1390, 1407, 1430, 1438, 1482, 1528, 1540, 1555, 1594, 1602, 1604, 1646, 1657, 1659, 1672, 1673, 1685, 1715, 1730, 1744, 1755, 1773, 1804, 1816, 1897, 1900, 1924, 1954, 1956, 2021, 2028, 2063, 2066, 2086, 2097, 2098, 2108, 2110, 2111, 2117, 2211, 2232, 2259, 2333, 2342, 2355, 2356, 2363, 2365, 2396, 2401, 2432, 2510, 2532, 2571, 2599, 2611, 2617, 2656, 2657, 2661, 2664, 2676, 2679, 2725, 2749, 2762, 2787, 2800, 2841, 2875, 2878, 2930, 2955, 2959, 2968, 3006, 3013, 3029, 3037, 3060, 3070, 3141, 3202, 3219, 3271, 3277, 3306, 3318, 3356, 3374, 3422, 3463, 3490, 3515, 3520, 3534, 3550, 3586, 3705, 3730, 3749, 3772, 3798, 3844, 3855, 3889, 4062, 4126, 4130, 4136, 4148, 4151, 4163, 4180, 4188, 4220, 4233, 4245, 4275, 4293, 4306, 4314, 4319, 4324, 4340, 4352, 4403, 4407, 4425, 4441, 4452, 4463, 4464, 4467, 4486, 4520, 4546, 4555]","[1, 13, 110, 264, 330, 340, 365, 376, 377, 381, 437, 543, 566, 614, 656, 666, 687, 698, 710, 740, 832, 920, 944, 963, 1132, 1147, 1191, 1249, 1273, 1418, 1425, 1650, 1715, 1749, 1769, 1794, 1803, 1919, 1979, 2024, 2086, 2101, 2114, 2128, 2159, 2342, 2381, 2397, 2500, 2521, 2558, 2648, 2653, 2723, 2753, 2858, 2974, 3037, 3049, 3068, 3084, 3145, 3227, 3307, 3481, 3544, 3549, 3622, 3707, 3716, 3944, 4004, 4018, 4020, 4055, 4099, 4250, 4353, 4402, 4447, 4480, 4490, 4516]"
28,9,9,"[2488, 2541, 2573, 2580, 2583, 2640, 2652, 2699, 2714, 2715, 2751, 2790, 2808, 2910, 2913, 2950, 3043, 3046, 3066, 3079, 3086, 3089, 3092, 3172, 3220, 3246, 3256, 3262, 3319, 3329, 3340, 3352, 3360, 3366, 3405, 3411, 3456]","[131, 204, 353, 395, 439, 534, 803, 1085, 1213, 1266, 1492, 1587, 1707, 2326, 2368, 2580, 2652, 2910, 2911, 3092, 3256, 3340, 3366, 3930, 3967, 4141, 4367, 4374]"
29,4,4,"[2313, 2323, 2373, 2382, 2389, 2394, 2437, 2449, 2452, 2458, 2464, 2521, 2560, 2562, 2598, 2603, 2610, 2620, 2627, 2629, 2635, 2666, 2827, 2835, 2859, 2861, 2879, 2885, 3039, 3053, 3054, 3096, 3124, 3255, 3316, 3332, 3344, 3361, 3381, 3454, 3474, 3507, 3516, 3546, 3563, 3609, 3612, 3614, 3632, 3676, 3702, 3704, 3706, 3729, 3743, 3808, 3857, 3906, 3918, 3922, 3960, 3965, 4063, 4073, 4098, 4100, 4120, 4175, 4192, 4209, 4214, 4226, 4236, 4247, 4267, 4295, 4337, 4338, 4344, 4401, 4449, 4462, 4521, 4531, 4559]","[28, 38, 45, 251, 278, 311, 339, 351, 360, 398, 428, 442, 444, 475, 522, 556, 561, 572, 629, 650, 720, 774, 819, 828, 881, 889, 915, 918, 1013, 1024, 1099, 1179, 1193, 1231, 1330, 1443, 1467, 1494, 1593, 1780, 2027, 2076, 2102, 2180]"
30,15,15,"[2360, 2367, 2380, 2465, 2525, 2638, 2653, 2728, 2743, 2785, 2920, 2934, 2992, 3020, 3021, 3075, 3187, 3214, 3268, 3292, 3301, 3307, 3363, 3369, 3418, 3430, 3437, 3446, 3505, 3523, 3525, 3533, 3577, 3583, 3589, 3616, 3649, 3651, 3684, 3696, 3735, 3754, 3773, 3888, 3928, 3962, 3972, 4011, 4022, 4082, 4091, 4125, 4160, 4212, 4216, 4238, 4242, 4513, 4518]","[29, 72, 152, 174, 249, 296, 414, 427, 500, 502, 622, 688, 813, 835, 882, 892, 899, 956, 1011, 1045, 1094, 1138, 1146, 1178, 1289, 1309, 1388, 1408, 1438, 1588, 1646, 1647, 1659, 1676, 1763, 1773, 1816, 1863, 1916, 2038, 2119, 2259, 2360]"
50,2,2,[],"[245, 884, 1120, 1208, 1292, 1514, 1815, 2375, 3637, 3823, 4280, 4418, 4422, 4522]"
51,8,3,"[41, 254, 394, 540, 600, 618, 715, 779, 827, 846, 861, 890, 942, 1004, 1031, 1069, 1433, 1480, 1493, 1598, 1680, 1700, 1724, 1731, 1814, 1892]","[42, 361, 540, 651, 866, 973, 1069, 1358, 1452, 1574, 1892, 2099, 2118, 2126, 2140, 2204, 2325, 2884, 2903, 2938, 3355, 3379, 3388, 3731, 4113, 4227, 4375, 4398]"
52,4,33,"[45, 101, 143, 176, 193, 219, 222, 238, 242, 251, 278, 294, 304, 311, 339, 341, 351, 360, 404, 442, 443, 475, 482, 561, 612, 629, 647, 650, 691, 712, 774, 889, 900, 915, 971, 972, 1016, 1099, 1122, 1128, 1179, 1185, 1193, 1231, 1261, 1307, 1340, 1368, 1379, 1381, 1445, 1453, 1467, 1488, 1494, 1564, 1568, 1593, 1612, 1650, 1689, 1695, 1749, 1754, 1780, 1796, 1813, 1821, 1940, 1944, 1949, 1966, 1969, 2026, 2089, 2142, 2151, 2186, 2199, 2213, 2214, 2225, 2279, 2284]","[30, 53, 74, 208, 211, 214, 239, 277, 298, 484, 749, 760, 780, 785, 955, 971, 1095, 1098, 1156, 1157, 1160, 1202, 1220, 1256, 1308, 1364, 1379, 1448, 1484, 1519, 1723, 1727, 1798, 1961, 1977, 2006, 2044, 2058, 2081, 2087, 2124, 2175, 2244, 2359, 2410, 2476, 2547, 2649, 2716, 2768, 2795, 2809, 2880, 2889, 2892, 2937, 3132, 3135, 3233, 3259, 3322, 3330, 3364, 3435, 3480, 3487, 3551, 3614, 3635, 3636, 3695, 3751, 3790, 3852, 3970, 3974, 3983, 3990, 4075, 4103, 4191, 4222, 4389, 4412, 4499]"
53,26,26,"[24, 37, 54, 61, 95, 113, 157, 183, 221, 223, 265, 281, 292, 349, 368, 406, 433, 463, 479, 607, 642, 690, 707, 709, 729, 733, 736, 782, 783, 787, 790, 794, 834, 844, 852, 863, 906, 951, 1052, 1214, 1233, 1252, 1272, 1359, 1372, 1394, 1442, 1459, 1522, 1532, 1603, 1688, 1752, 1757, 1764, 1772, 2012, 2127, 2229, 2253, 2271, 2328, 2425, 2487, 2538]","[20, 37, 73, 93, 205, 221, 276, 372, 406, 456, 470, 485, 495, 505, 601, 607, 748, 821, 831, 870, 911, 968, 983, 1118, 1214, 1216, 1233, 1291, 1327, 1382, 1459, 1468, 1529, 1550, 1734, 1836, 1911, 1945, 2011, 2055, 2184, 2198, 2239, 2291, 2306, 2425, 2597, 2623, 2709, 2798, 2811, 2901, 2979, 3161, 3284, 3353, 3359, 3377, 3479, 3510, 3513, 3581, 3645, 3653, 3663, 3699, 3724, 3826, 3898, 3950, 3955, 4058, 4087, 4118, 4165, 4174, 4194, 4206, 4327, 4347, 4443, 4460, 4461, 4475, 4492]"
