,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,88,0,0,0,0,0,0,0,88,0,0,0
1,0,321,0,0,0,0,0,0,0,0,0,0,0,0,75,0,72,0,0,56,0,0,0,0,0,0,28,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
2,0,0,546,0,0,15,0,0,88,0,0,0,44,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,34,0,14,0,0
3,0,0,0,269,0,31,0,0,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,48,0,0,30,0,0,0,0
4,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,89,0,0,0,136,0,0,0,0,0,0,0,44,46,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,184,0
5,0,0,0,0,0,190,0,0,120,100,0,39,95,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,23,0,0,39,0,0,0,0
6,0,0,0,0,0,0,39,0,38,155,0,0,41,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,39,0,0,0,0,0,0,39,0,0,0,0,78,0,0
7,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,23,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,430,0,0,0,0,65,38,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,50,0,0,0,0,0,0,80,0,0,0,0,41,0,0
9,0,0,0,236,0,26,0,0,222,155,0,0,38,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,29,0,0,0,0,0,0,0
