,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,130,0,0,0
1,0,279,0,0,27,0,0,0,0,0,0,0,0,0,75,0,72,0,0,29,0,0,0,0,0,0,28,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
2,0,0,598,0,0,15,0,17,50,0,0,0,62,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,0,0,0,0,0,0,0,0,14,0,16,0,0
3,0,0,0,342,0,86,0,0,57,0,0,25,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,48,0,0,0,0,0,0,0
4,0,0,0,0,272,0,0,0,0,0,0,0,45,0,0,0,47,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,89,92,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
5,0,0,0,44,0,231,0,0,41,66,39,37,58,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,48,0,0,39,0,0,0,0
6,0,0,0,39,0,38,118,0,0,155,0,0,78,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,41,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,23,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,468,0,0,0,0,105,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,40,0,0,41,0,39,0,0
9,0,0,0,430,0,26,0,0,26,281,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,83,37,0,0,0,0,0,0,0,0,0,0,166,0,0,123,0,0,0,0,0,0,43,0,0,0,46,0,83,0,0,0,0,0,83,0,0,83,0,0,0,83,0,0
11,0,0,0,0,0,50,0,0,0,0,95,192,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,380,0,0
12,0,0,0,0,0,210,0,0,0,0,0,45,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,88,0,0,120,0,165,0,0
13,39,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,52,0,0,0,0,0,0,0,0,0,645,0,79,0,0,0,0,0,0,0,0,0,30,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
15,90,0,0,0,0,0,0,0,0,0,0,0,0,0,91,360,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,180
16,0,0,0,0,48,0,0,0,0,0,0,0,0,0,45,0,450,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0
17,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,75,0,0,85,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,355,40,0,0,0,0,0,0,0,0,0,40,0,0,42,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,324,0,0,0,0,79,0,0,0,0
19,0,0,0,0,42,0,31,0,0,0,0,0,0,0,0,0,25,0,0,309,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
20,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,39,0,0,0,0,110,0,36,0,0,0,0,0,0,0,0,0,225,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0
21,0,0,0,0,0,0,74,0,0,133,0,0,0,0,0,0,0,0,0,0,0,222,38,0,0,37,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,89,0,0,37,0,0,0,0,0,0,0
22,0,0,0,0,0,79,0,0,0,0,158,79,39,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
