cell_id,satellite_id,gateway_id
510,143,43
511,1341,41
512,7,34
513,484,17
514,1456,52
515,234,6
516,1456,52
517,144,1
519,1386,7
520,189,30
521,1526,13
522,75,4
523,120,9
524,347,11
525,484,17
526,278,41
527,1410,44
528,438,45
529,576,13
530,485,50
531,234,6
533,1386,7
534,74,9
535,1525,0
536,8,29
537,1501,46
538,1480,13
539,348,22
540,302,3
541,279,12
542,233,23
543,30,53
544,347,11
545,507,42
546,120,9
547,438,45
548,1502,37
549,371,25
550,29,21
551,234,6
552,301,18
553,1434,36
554,1525,0
555,1456,52
556,75,4
557,348,22
558,278,41
559,187,23
560,143,43
561,75,4
562,29,21
563,189,30
564,1501,46
565,303,31
566,30,53
567,416,10
568,1387,49
569,1341,41
570,1456,52
571,507,42
572,75,4
573,371,25
574,1411,36
575,256,5
576,416,10
577,303,31
578,98,19
579,348,22
580,144,1
581,189,30
582,1409,39
583,417,16
584,1503,13
585,347,11
586,7,34
587,1477,40
588,1341,41
589,1501,46
590,439,47
591,53,14
592,416,10
593,119,40
594,438,45
595,121,27
596,1410,44
597,165,9
598,8,29
599,1547,35
600,97,8
601,531,26
602,301,18
603,143,43
604,143,43
605,188,5
606,189,30
607,531,26
608,1525,0
609,462,50
610,508,29
611,1568,2
612,417,16
613,29,21
614,30,53
615,461,32
616,417,16
617,1571,15
618,302,3
619,371,25
620,1410,44
621,234,6
622,1571,15
623,1364,38
624,371,25
625,189,30
626,347,11
628,211,40
629,75,4
630,211,40
631,1501,46
632,97,8
633,461,32
634,1503,13
635,484,17
636,462,50
637,301,18
638,1364,38
639,143,43
640,301,18
641,53,14
642,167,48
643,119,40
644,1364,38
645,29,21
646,347,11
647,417,16
648,120,9
649,53,14
650,75,4
651,1500,3
652,1386,7
653,347,11
654,392,18
655,1547,35
656,30,53
657,1524,51
658,1525,0
659,438,45
660,279,12
661,348,22
662,1386,7
663,29,21
664,1432,51
665,278,41
666,30,53
667,1546,5
668,1432,51
669,1477,40
670,1547,35
671,417,16
672,304,28
673,143,43
674,234,6
675,190,28
676,233,23
677,438,45
678,144,1
679,303,31
680,1547,35
681,1524,51
682,302,3
684,1386,7
685,189,30
686,1411,36
687,30,53
688,1571,15
689,1386,7
690,486,48
691,417,16
692,1456,52
693,416,10
694,439,47
695,1388,36
696,371,25
697,121,27
698,30,53
699,1503,13
700,371,25
701,1501,46
702,234,6
703,1410,44
704,1456,52
705,301,18
706,29,21
707,463,48
708,484,17
709,167,48
710,30,53
711,485,50
712,417,16
713,8,29
714,349,27
715,142,3
716,303,31
717,485,50
718,121,27
719,1570,47
720,75,4
721,303,31
722,1477,40
723,7,34
724,1547,35
725,347,11
726,348,22
727,278,41
728,1547,35
729,486,48
730,28,2
731,484,17
732,8,29
733,395,28
734,233,23
735,301,18
736,144,1
737,392,18
738,1409,39
739,461,32
740,30,53
741,1387,49
742,165,9
743,371,25
744,1525,0
745,508,29
746,303,31
747,1548,24
748,531,26
749,280,33
750,97,8
751,189,30
752,417,16
753,1524,51
754,1409,39
755,507,42
756,485,50
757,1387,49
758,348,22
759,1525,0
760,280,33
761,97,8
762,1388,36
763,417,16
764,1548,24
765,303,31
766,1547,35
767,1434,36
768,347,11
769,1456,52
770,303,31
771,1547,35
772,416,10
773,1570,47
774,75,4
775,347,11
776,121,27
777,303,31
778,438,45
779,302,3
780,280,33
781,1456,52
782,486,48
783,486,48
785,280,33
786,371,25
787,372,48
788,303,31
789,1570,47
790,122,28
791,144,1
792,1434,36
793,187,23
794,463,48
795,439,47
796,1546,5
797,1364,38
798,1409,39
799,461,32
800,1501,46
801,416,10
802,53,14
803,74,9
804,485,50
805,416,10
806,349,27
807,1480,13
808,438,45
809,371,25
810,348,22
811,347,11
812,438,45
813,1571,15
814,189,30
815,1501,46
816,1501,46
817,1386,7
818,1409,39
819,75,4
820,8,29
821,531,26
822,1524,51
823,189,30
824,1388,36
825,143,43
826,7,34
827,97,8
828,75,4
829,74,9
830,1524,51
831,531,26
832,30,53
833,1364,38
834,99,48
835,1571,15
836,1501,46
837,7,34
838,1432,51
839,1434,36
840,1434,36
841,349,27
842,461,32
843,349,27
844,99,48
845,484,17
846,97,8
848,302,3
849,235,19
850,1457,24
851,326,28
852,99,48
853,324,41
854,347,11
855,234,6
856,507,42
857,462,50
858,120,9
859,187,23
860,438,45
861,302,3
862,303,31
863,144,1
864,279,12
865,8,29
866,1500,3
867,461,32
868,1570,47
869,553,13
870,531,26
871,416,10
872,278,41
873,8,29
874,416,10
875,1364,38
876,1570,47
877,1457,24
878,235,19
879,416,10
881,75,4
882,1571,15
883,1548,24
884,1568,2
885,143,43
886,1387,49
887,143,43
888,279,12
889,75,4
890,97,8
891,53,14
892,1571,15
893,1568,2
894,29,21
895,1570,47
896,1410,44
897,1525,0
898,1409,39
899,1571,15
900,417,16
901,1411,36
902,1501,46
903,530,37
904,1409,39
905,279,12
906,372,48
907,119,40
908,213,28
909,508,29
910,121,27
911,531,26
912,5,2
913,144,1
914,279,12
915,75,4
916,53,14
917,347,11
918,75,4
919,1454,2
920,30,53
921,461,32
922,485,50
923,303,31
924,1364,38
925,1410,44
926,234,6
927,303,31
928,303,31
929,349,27
930,462,50
931,1547,35
932,347,11
933,7,34
934,1501,46
935,1410,44
936,1570,47
937,371,25
938,119,40
939,461,32
940,234,6
941,1502,37
942,142,3
943,143,43
944,30,53
945,485,50
946,97,8
947,462,50
948,29,21
949,485,50
950,1501,46
951,395,28
952,1364,38
954,1570,47
955,280,33
956,1571,15
957,507,42
958,392,18
959,418,28
960,1364,38
961,188,5
962,1387,49
963,30,53
964,462,50
965,1364,38
966,303,31
967,349,27
968,531,26
969,1410,44
970,143,43
971,280,33
972,121,27
973,1500,3
974,1387,49
975,1457,24
976,7,34
978,53,14
979,1548,24
980,1547,35
981,234,6
983,531,26
984,1525,0
985,98,19
986,1525,0
987,1409,39
988,485,50
989,438,45
990,416,10
991,303,31
992,1432,51
993,278,41
994,1386,7
995,279,12
996,1525,0
997,508,29
998,1409,39
999,347,11
1000,1386,7
1001,53,14
1002,29,21
1003,1387,49
1004,97,8
1005,97,8
1006,1387,49
1007,438,45
1008,96,2
1009,576,13
1010,439,47
1011,1571,15
1012,7,34
1013,75,4
1014,234,6
1015,1386,7
1016,98,19
1017,1525,0
1018,349,27
1019,324,41
1020,279,12
1021,5,2
1022,143,43
1023,144,1
1024,75,4
1025,1502,37
1026,1570,47
1027,372,48
1028,8,29
1029,165,9
1030,1546,5
1031,302,3
1032,461,32
1033,1525,0
1034,1524,51
1035,98,19
1036,507,42
1037,1547,35
1038,1411,36
1039,187,23
1040,1432,51
1041,303,31
1042,349,27
1043,1434,36
1044,1502,37
1045,1571,15
1047,234,6
1048,461,32
1049,461,32
1050,1364,38
1051,371,25
1052,144,1
1053,211,40
1054,1341,41
1055,1524,51
1056,1386,7
1057,349,27
1058,507,42
1059,348,22
1060,74,9
1061,1548,24
1062,1524,51
1063,53,14
1064,438,45
1065,301,18
1066,1570,47
1067,461,32
1068,1570,47
1069,142,3
1070,462,50
1071,1457,24
1072,1477,40
1073,347,11
1074,1570,47
1075,1501,46
1076,461,32
1077,303,31
1078,1547,35
1079,165,9
1080,1388,36
1081,28,2
1082,462,50
1083,97,8
1084,1457,24
1085,74,9
1086,392,18
1087,1457,24
1088,1501,46
1089,507,42
1090,188,5
1091,29,21
1092,1432,51
1093,233,23
1094,1571,15
1095,280,33
1096,233,23
1097,1387,49
1098,280,33
1099,75,4
1100,416,10
1101,1387,49
1102,143,43
1103,8,29
1104,484,17
1105,144,1
1106,8,29
1107,53,14
1108,1387,49
1109,53,14
1110,348,22
1111,438,45
1112,98,19
1113,1548,24
1114,29,21
1115,1434,36
1116,98,19
1117,416,10
1118,531,26
1119,509,28
1120,1568,2
1121,576,13
1122,417,16
1123,1364,38
1124,1525,0
1125,235,19
1127,29,21
1128,98,19
1129,1525,0
1130,74,9
1131,392,18
1132,30,53
1133,1548,24
1134,29,21
1135,8,29
1136,235,19
1137,5,2
1138,1571,15
1139,97,8
1140,1364,38
1141,484,17
1142,416,10
1143,188,5
1144,438,45
1145,484,17
1146,1571,15
1147,30,53
1148,1500,3
1149,370,38
1150,8,29
1151,1548,24
1152,1501,46
1153,347,11
1154,5,2
1155,52,35
1156,280,33
1157,280,33
1158,5,2
1159,143,43
1160,280,33
1161,29,21
1163,7,34
1164,438,45
1165,507,42
1166,1364,38
1167,438,45
1168,1386,7
1169,461,32
1170,1524,51
1171,1386,7
1172,189,30
1173,7,34
1174,1432,51
1175,1547,35
1176,302,3
1178,1571,15
1179,75,4
1180,1548,24
1181,29,21
1182,416,10
1183,1409,39
1184,348,22
1185,121,27
1186,1388,36
1187,302,3
1188,347,11
1189,1432,51
1191,30,53
1192,28,2
1193,75,4
1194,484,17
1195,462,50
1196,1546,5
1197,143,43
1198,484,17
1199,211,40
1200,1548,24
1201,416,10
1202,280,33
1203,1454,2
1204,1456,52
1205,1411,36
1206,1364,38
1207,256,5
1208,1568,2
1209,530,37
1210,187,23
1211,1525,0
1212,53,14
1213,74,9
1214,531,26
1215,303,31
1216,531,26
1217,53,14
1218,98,19
1219,1525,0
1220,280,33
1221,347,11
1222,1525,0
1223,1364,38
1224,1478,40
1225,165,9
1226,143,43
1227,97,8
1228,507,42
1229,1570,47
1230,1387,49
1231,75,4
1232,1454,2
1233,531,26
1234,1457,24
1235,7,34
1236,461,32
1237,29,21
1238,1502,37
1239,29,21
1240,301,18
1241,303,31
1242,211,40
1243,416,10
1244,303,31
1245,1501,46
1246,1432,51
1247,1410,44
1248,7,34
1249,30,53
1250,303,31
1251,98,19
1252,463,48
1253,303,31
1254,1546,5
1255,7,34
1256,280,33
1257,438,45
1258,1456,52
1259,234,6
1260,461,32
1261,417,16
1262,97,8
1263,279,12
1264,1524,51
1265,120,9
1266,74,9
1267,1570,47
1268,1525,0
1269,438,45
1270,1456,52
1272,372,48
1273,30,53
1274,416,10
1275,96,2
1276,256,5
1277,303,31
1278,484,17
1279,1524,51
1280,416,10
1281,1387,49
1282,301,18
1283,1454,2
1284,304,28
1285,1570,47
1286,119,40
1287,371,25
1288,348,22
1289,1571,15
1290,507,42
1291,531,26
1292,1568,2
1294,1410,44
1295,8,29
1296,438,45
1297,187,23
1298,1409,39
1299,1478,40
1300,1410,44
1301,143,43
1302,279,12
1303,187,23
1304,144,1
1305,349,27
1306,233,23
1307,189,30
1308,280,33
1309,1571,15
1310,347,11
1311,279,12
1312,1477,40
1313,1411,36
1314,279,12
1315,5,2
1316,1570,47
1317,28,2
1318,507,42
1319,144,1
1320,121,27
1321,7,34
1322,484,17
1323,1456,52
1324,1364,38
1325,1502,37
1326,144,1
1327,531,26
1328,1410,44
1329,371,25
1330,75,4
1331,1548,24
1332,1501,46
1333,1457,24
1334,120,9
1335,53,14
1336,348,22
1337,530,37
1338,5,2
1339,1364,38
1340,121,27
1341,52,35
1342,1411,36
