unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
5,5,2,"[2491, 2616, 2622, 2659, 2684, 2726, 2803, 2822, 2848, 2908, 2935, 2990, 3088, 3093, 3179, 3211, 3267, 3283, 3345, 3379, 3388, 3427, 3438, 3457, 3489, 3579, 3621, 3665, 3682, 3731, 3837, 3849, 3876, 3905, 4046, 4066, 4113, 4122, 4257, 4342, 4375, 4504, 4534]","[144, 347, 912, 1021, 1081, 1154, 1203, 1357, 1440, 1497, 1987, 2643, 2883, 3221, 3403, 3560, 3638, 3988, 4200, 4370, 4567]"
6,52,35,"[2384, 2392, 2403, 2407, 2424, 2477, 2479, 2543, 2548, 2619, 2696, 2877, 2882, 2942, 2961, 3023, 3077, 3097, 3126, 3136, 3218, 3232, 3266, 3312, 3339, 3342, 3557, 3559, 3564, 3631, 3655, 3713, 3721, 3850, 3865, 3907, 3908, 3993, 4115, 4127, 4135, 4187, 4283, 4341, 4358, 4493, 4495]","[77, 83, 116, 189, 331, 379, 412, 434, 453, 466, 507, 599, 655, 670, 680, 724, 728, 766, 771, 931, 980, 1037, 1078, 1155, 1175, 1341, 1362, 1411, 1513, 1515, 1578, 1597, 1599, 1621, 1628, 1703, 1706, 1767, 1782, 1868, 1925, 2091, 2100, 2160, 2166, 2251, 2318, 2415, 2748, 2815, 2843, 2984, 3003, 3098, 3120, 3240, 3263, 3287, 3387, 3402, 3452, 3488, 3548, 3591, 3628, 3685, 3727, 3757, 3802, 3832, 3940, 3984, 4010, 4069, 4114, 4240, 4277, 4279, 4290, 4328, 4423, 4485, 4509, 4554]"
7,53,29,"[327, 427, 468, 591, 610, 745, 763, 892, 909, 997, 1217, 1249, 1335, 1360, 1395, 1566, 1588, 1647, 1660, 1664, 1676, 1709, 1733, 1839, 1863, 2119, 2137, 2152, 2212, 2242, 2277, 2319, 2360, 2380, 2469, 2653, 2673, 2721, 2728, 2743, 2785, 3075, 3187, 3209, 3268, 3307, 3369, 3418, 3447, 3469, 3533, 3538, 3593, 3649, 3735, 3773, 3928, 3968, 4011, 4048, 4074, 4082, 4164, 4183, 4212, 4216, 4242, 4292, 4315]","[327, 610, 745, 997, 2380, 2465, 2638, 2724, 2728, 2920, 2934, 2992, 3020, 3021, 3214, 3292, 3301, 3363, 3369, 3386, 3430, 3437, 3446, 3505, 3523, 3525, 3589, 3616, 3649, 3651, 3684, 3696, 3754, 3773, 3888, 3972, 4022, 4082, 4125, 4160, 4216, 4238, 4513, 4518]"
27,2,2,[],"[87, 483, 730, 1008, 1137, 1192, 1315, 1317, 1428, 2034, 2079, 2183, 2375, 3217, 3521, 3933, 3999, 4015, 4193, 4262, 4422]"
28,46,5,"[3040, 3043, 3057, 3058, 3108, 3137, 3182, 3192, 3206, 3235, 3242, 3246, 3258, 3309, 3319, 3328, 3331, 3337, 3340, 3362, 3367, 3368, 3371, 3405, 3416, 3417, 3436, 3472, 3492, 3502, 3526, 3532, 3537, 3561, 3565, 3569, 3607, 3611, 3617, 3634, 3728, 3739, 3742, 3752, 3760, 3768, 3791, 3805, 3828, 3834, 3842, 3851, 3869, 3893, 3899, 3942, 3954, 3956, 3961, 3986, 3989, 4009, 4023, 4036, 4037, 4041, 4072, 4083, 4107, 4109, 4170, 4221, 4239, 4269, 4297, 4316, 4351, 4377, 4381, 4384, 4404, 4405, 4416, 4427, 4457, 4458, 4478, 4488, 4542, 4544, 4561]","[2, 99, 138, 158, 334, 387, 605, 961, 1090, 1276, 1633, 1718, 2155, 2513, 2616, 2726, 2908, 2919, 2933, 2957, 3321, 3579, 3599, 3682, 3879, 4009, 4199, 4534]"
29,34,34,"[1, 33, 45, 55, 101, 143, 176, 193, 215, 219, 222, 242, 251, 263, 274, 312, 345, 360, 376, 399, 402, 416, 437, 443, 445, 467, 475, 482, 512, 543, 583, 586, 612, 647, 650, 666, 671, 691, 712, 718, 723, 752, 804, 826, 828, 900, 915, 933, 1012, 1016, 1099, 1122, 1132, 1163, 1231, 1235, 1255, 1261, 1321, 1340, 1368, 1381, 1418, 1425, 1445, 1466, 1494, 1564, 1568, 1612, 1650, 1658, 1689, 1717, 1749, 1754, 1780, 1796, 1813, 1828, 1898, 1912, 1915, 1929, 1944, 1949, 1959, 1966, 1969, 2026, 2051, 2114, 2134, 2142, 2159, 2186, 2189, 2199, 2213, 2215, 2240, 2279]","[176, 274, 312, 345, 399, 416, 445, 512, 586, 723, 826, 837, 933, 976, 1012, 1163, 1173, 1235, 1248, 1255, 1321, 1655, 1658, 1667, 1716, 1754, 1766, 1828, 1865, 1898, 1912, 1929, 1988, 2134, 2169, 2215, 2392, 2403, 2452, 2477, 2548, 2568, 2594, 2598, 2635, 2685, 2696, 2703, 2898, 2961, 3023, 3077, 3082, 3136, 3177, 3178, 3266, 3304, 3323, 3332, 3339, 3342, 3344, 3398, 3675, 3721, 3733, 3831, 3865, 3918, 3951, 3960, 3993, 4056, 4127, 4135, 4186, 4187, 4207, 4214, 4231, 4259, 4263, 4267, 4273, 4318]"
30,26,29,"[3605, 3806, 3884, 3920, 3975, 3982, 4025, 4040, 4096, 4119, 4204, 4249, 4305, 4362, 4366, 4424, 4549]","[92, 108, 148, 163, 212, 303, 375, 440, 536, 598, 713, 732, 820, 865, 873, 909, 1028, 1103, 1106, 1135, 1150, 1295, 1350, 1363, 1389, 1531, 1542, 1573, 1653, 1661, 1664, 1899, 1971, 2007, 2021, 2035, 2137, 2205, 2212, 2218, 2309, 2319, 2367]"
50,40,40,"[91, 245, 884, 893, 919, 1008, 1120, 1158, 1203, 1208, 1283, 1292, 1338, 1402, 1514, 1847, 2099, 2144, 2183]","[32, 62, 285, 587, 722, 1072, 1312, 1521, 1705, 2307, 2503, 2669, 2975, 3198, 3222, 3248, 3391, 3618, 3824, 4131, 4321, 4386, 4550]"
51,21,8,[991],"[254, 827, 890, 946, 1005, 1083, 1262, 1371, 1433, 1777, 1787, 1820, 2010, 2257, 2331, 2541, 2585, 2714, 2715, 2751, 2848, 3079, 3089, 3093, 3199, 3220, 3262, 3427, 3456, 3540, 3621, 3633, 3673, 3753, 3759, 3868, 3923, 4077, 4409, 4438, 4442, 4511, 4545]"
52,16,27,"[60, 136, 318, 488, 616, 910, 978, 1409, 1611, 1693, 1751, 1995, 2089, 2154, 2200, 2288, 2373, 2431, 2450, 2686, 2745, 2885, 3067, 3401, 3883, 4446]","[101, 256, 275, 294, 341, 402, 407, 425, 443, 595, 697, 714, 718, 776, 806, 841, 843, 910, 929, 967, 972, 1018, 1042, 1057, 1185, 1305, 1320, 1340, 1383, 1410, 1502, 1609, 1725, 1797, 1821, 1854, 1872, 2089, 2178, 2745, 3401]"
