Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
904,43,"[47, 10, 20]",20
995,0,"[22, 11, 12]",34
1222,1,"[39, 5, 9]",5
1109,9,"[6, 4, 33]",30
859,47,"[17, 45, 36]",36
1564,51,"[17, 0, 42]",42
1267,2,"[39, 7, 23]",7
1473,44,"[22, 25, 47]",52
880,3,"[41, 39, 49]",41
1177,4,"[31, 43, 9]",31
1017,5,"[46, 5, 39]",5
1519,11,"[34, 52, 50]",53
1223,13,"[30, 43, 31]",21
1154,6,"[3, 8, 43]",43
1313,7,"[51, 49, 12]",39
882,44,"[32, 36, 17]",17
1404,8,"[51, 11, 10]",10
2,15,"[48, 14, 26]",26
950,44,"[20, 50, 47]",37
857,10,"[40, 7, 23]",23
1156,17,"[26, 1, 48]",48
1132,20,"[19, 4, 33]",4
1542,22,"[37, 15, 53]",15
1040,12,"[3, 12, 46]",6
1176,14,"[23, 3, 40]",40
1087,25,"[50, 16, 53]",16
1133,27,"[1, 14, 26]",26
1428,16,"[25, 33, 35]",25
971,19,"[40, 3, 23]",3
1,44,"[42, 0, 24]",0
1495,44,"[32, 45, 36]",32
972,21,"[22, 5, 12]",22
1086,23,"[35, 46, 6]",33
1155,29,"[27, 30, 19]",28
1245,26,"[9, 43, 5]",9
1292,31,"[1, 28, 19]",28
903,28,"[12, 39, 51]",23
926,30,"[12, 11, 38]",51
1497,33,"[27, 26, 1]",1
1565,35,"[15, 14, 29]",14
835,32,"[49, 41, 18]",18
1427,44,"[11, 10, 22]",47
1358,34,"[38, 49, 18]",18
47,24,"[0, 24, 13]",13
1359,36,"[51, 35, 11]",35
1131,38,"[43, 8, 9]",8
996,44,"[0, 37, 50]",50
948,40,"[23, 2, 40]",2
949,42,"[40, 22, 3]",12
1039,46,"[40, 3, 2]",2
1042,37,"[24, 29, 15]",29
1336,50,"[38, 12, 11]",11
1110,39,"[16, 29, 14]",27
1269,41,"[28, 19, 30]",30
1290,53,"[5, 39, 49]",49
858,44,"[51, 44, 38]",44
1244,18,"[7, 40, 23]",23
24,24,"[0, 24, 13]",24
1381,18,"[51, 44, 38]",38
928,44,"[13, 42, 24]",24
1335,18,"[49, 41, 7]",41
1541,44,"[20, 17, 42]",32
1406,45,"[19, 48, 1]",1
1268,18,"[3, 6, 46]",46
1360,49,"[27, 19, 30]",30
1224,52,"[1, 28, 48]",48
1019,48,"[24, 0, 37]",24
1018,18,"[25, 46, 22]",19
1426,44,"[41, 44, 18]",18
812,18,"[49, 7, 41]",41
1201,48,"[28, 48, 1]",1
927,44,"[52, 20, 47]",17
1361,48,"[48, 22, 28]",28
925,18,"[3, 40, 2]",2
1429,48,"[1, 28, 48]",48
881,44,"[45, 38, 10]",45
1247,48,"[41, 48, 28]",28
973,44,"[15, 52, 50]",47
1518,44,"[32, 42, 17]",45
1449,44,"[38, 18, 44]",44
1452,48,"[22, 48, 28]",28
1338,48,"[25, 48, 28]",28
1153,18,"[3, 40, 2]",2
1315,48,"[1, 48, 28]",28
1064,48,"[52, 4, 34]",35
1178,48,"[19, 1, 27]",28
1383,48,"[27, 30, 19]",27
1314,18,"[21, 33, 6]",46
1520,48,"[28, 1, 48]",48
1472,44,"[18, 44, 45]",45
1270,48,"[18, 48, 28]",28
1291,18,"[9, 21, 6]",21
1062,18,"[3, 2, 40]",40
1543,48,"[1, 48, 28]",28
1179,48,"[35, 48, 28]",28
1085,18,"[8, 40, 3]",3
1063,18,"[33, 46, 8]",6
1337,48,"[30, 33, 21]",33
1246,48,"[19, 31, 30]",31
1474,48,"[27, 14, 16]",19
1405,18,"[35, 22, 46]",22
994,18,"[23, 5, 39]",39
1041,18,"[35, 52, 25]",50
1496,44,"[34, 25, 52]",25
1199,18,"[23, 3, 8]",8
