Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
950,0,"[50, 20, 47]",20
1064,33,"[52, 53, 34]",34
1245,1,"[46, 3, 5]",5
1246,35,"[19, 31, 30]",30
1564,2,"[37, 0, 42]",42
1267,3,"[7, 23, 39]",7
927,4,"[52, 47, 20]",52
1335,5,"[7, 49, 41]",41
1223,37,"[43, 30, 31]",31
1087,39,"[15, 16, 53]",53
1040,6,"[46, 3, 12]",21
1154,7,"[21, 43, 9]",43
994,8,"[9, 5, 39]",39
881,9,"[36, 45, 10]",10
2,42,"[48, 14, 26]",26
996,10,"[42, 37, 50]",37
1199,11,"[3, 9, 8]",23
1224,44,"[1, 28, 48]",48
1451,46,"[34, 33, 4]",4
1542,48,"[14, 15, 53]",15
1086,12,"[33, 35, 6]",6
948,13,"[3, 23, 40]",40
1110,50,"[26, 29, 14]",16
1474,52,"[1, 26, 27]",26
1132,28,"[33, 19, 4]",4
1041,14,"[35, 52, 25]",25
1085,15,"[9, 8, 3]",3
1200,16,"[21, 31, 43]",43
47,28,"[29, 24, 13]",13
1019,17,"[24, 37, 0]",0
1473,18,"[22, 25, 47]",32
949,19,"[38, 3, 22]",22
1109,20,"[6, 4, 33]",33
1292,28,"[48, 1, 28]",28
1177,21,"[21, 43, 9]",9
971,22,"[8, 23, 39]",23
1336,23,"[51, 12, 11]",51
1497,28,"[48, 26, 1]",1
1565,28,"[15, 14, 29]",14
835,24,"[49, 41, 18]",18
904,25,"[32, 47, 20]",47
1131,26,"[3, 9, 8]",43
1133,28,"[1, 14, 26]",26
1359,27,"[12, 35, 11]",35
903,29,"[38, 12, 51]",8
973,30,"[37, 15, 50]",50
1520,28,"[1, 28, 48]",48
1153,31,"[3, 2, 40]",2
926,32,"[12, 11, 38]",12
1039,34,"[3, 40, 2]",2
1042,28,"[0, 13, 29]",29
995,36,"[10, 11, 22]",11
1178,28,"[26, 1, 27]",27
1108,38,"[3, 8, 9]",9
1313,41,"[51, 49, 12]",49
1201,28,"[28, 48, 1]",48
858,43,"[44, 38, 10]",44
24,45,"[0, 24, 13]",24
1450,47,"[47, 10, 22]",38
1519,28,"[53, 50, 34]",16
812,49,"[7, 49, 41]",41
1222,51,"[9, 43, 5]",8
1405,53,"[6, 46, 35]",46
1244,40,"[7, 23, 40]",40
1291,40,"[21, 9, 6]",9
1337,28,"[33, 30, 31]",19
1426,40,"[41, 44, 18]",18
1,40,"[15, 0, 24]",24
1541,40,"[0, 42, 17]",17
1338,28,"[25, 48, 28]",28
1360,28,"[27, 19, 30]",30
925,40,"[23, 40, 2]",2
1155,28,"[30, 19, 27]",4
1495,40,"[45, 32, 36]",36
1472,40,"[36, 44, 45]",45
1406,28,"[28, 48, 1]",1
1269,28,"[28, 30, 19]",28
1062,40,"[2, 40, 3]",40
1543,28,"[2, 48, 28]",28
1176,40,"[23, 40, 3]",3
25,28,"[26, 28, 48]",48
1361,28,"[11, 22, 28]",28
1315,28,"[25, 48, 28]",28
1130,40,"[16, 40, 2]",2
1429,28,"[1, 48, 28]",28
1358,40,"[18, 49, 38]",38
1156,28,"[1, 28, 48]",28
1247,28,"[41, 48, 28]",28
1452,28,"[22, 11, 28]",28
1449,40,"[38, 18, 44]",44
1404,40,"[51, 10, 11]",12
1428,40,"[34, 33, 35]",35
880,40,"[41, 39, 49]",49
1427,40,"[11, 51, 22]",51
1018,40,"[35, 25, 22]",22
1268,40,"[8, 6, 46]",6
1496,40,"[34, 47, 52]",25
1290,40,"[5, 39, 49]",39
1382,40,"[22, 46, 5]",5
1314,40,"[33, 6, 21]",21
1518,40,"[32, 42, 17]",32
1017,40,"[12, 39, 46]",46
