Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
415,53,"32, 47, 20",20
1570,5,"37, 53, 50",53
1546,3,"11, 12, 5",5
143,36,"27, 19, 30",30
461,42,"50, 20, 47",36
1456,28,"20, 17, 42",42
278,52,"49, 38, 51",41
1547,43,"34, 50, 52",52
211,38,"21, 31, 43",31
97,25,"33, 6, 21",21
119,52,"43, 8, 9",43
255,25,"41, 39, 49",39
1410,47,"17, 32, 36",17
392,16,"38, 10, 45",10
53,2,"14, 48, 26",26
507,37,"24, 0, 37",37
1408,41,"2, 40, 23",23
508,29,"26, 1, 48",48
348,50,"31, 4, 19",4
530,9,"29, 0, 15",15
234,4,"43, 30, 31",33
74,2,"21, 9, 6",6
141,20,"23, 40, 2",40
52,22,"34, 16, 4",16
1386,30,"49, 51, 38",49
325,15,"21, 4, 33",4
73,9,"2, 40, 3",3
324,18,"11, 40, 3",3
575,19,"0, 24, 13",13
232,48,"40, 23, 7",7
1502,22,"24, 0, 42",0
1433,45,"36, 32, 17",32
6,37,"25, 33, 35",22
121,33,"26, 48, 1",28
165,34,"21, 43, 9",9
462,30,"29, 16, 14",14
303,7,"1, 48, 28",28
187,20,"8, 23, 39",23
1432,49,"10, 51, 11",12
394,16,"26, 27, 1",1
1455,39,"11, 51, 22",22
346,19,"38, 18, 44",18
1524,40,"52, 22, 25",47
1548,4,"0, 24, 13",13
1569,8,"35, 22, 46",35
256,1,"46, 3, 12",8
7,7,"14, 53, 15",50
1479,10,"0, 17, 42",24
5,46,"43, 5, 9",2
1499,11,"3, 40, 2",2
553,19,"14, 26, 29",29
1454,47,"7, 49, 39",7
417,50,"28, 48, 1",48
370,14,"51, 12, 11",11
371,32,"1, 19, 27",27
1341,9,"44, 41, 18",18
1409,6,"51, 12, 38",51
30,12,"26, 14, 29",29
1364,13,"18, 45, 44",44
416,27,"52, 35, 25",25
1522,16,"3, 2, 40",40
552,14,"0, 13, 24",24
210,37,"9, 39, 5",9
164,53,"3, 40, 23",40
189,37,"28, 48, 1",1
301,28,"12, 11, 38",38
233,44,"39, 12, 46",46
29,41,"33, 34, 4",34
120,41,"33, 30, 31",19
1501,8,"52, 47, 25",50
439,51,"4, 52, 34",1
98,34,"1, 26, 27",26
96,47,"9, 3, 8",9
1525,32,"13, 0, 24",13
280,31,"1, 28, 19",19
484,52,"0, 37, 50",17
1363,17,"49, 41, 7",7
349,34,"25, 48, 28",28
1431,20,"40, 7, 23",23
1568,23,"3, 9, 8",8
1387,49,"44, 36, 45",45
326,1,"25, 48, 28",28
166,38,"30, 27, 19",27
144,23,"1, 28, 48",48
75,14,"27, 14, 16",29
50,0,"3, 40, 2",2
212,43,"1, 28, 48",28
235,44,"18, 48, 28",28
440,35,"18, 48, 28",28
167,40,"11, 48, 28",28
598,7,"24, 28, 13",13
188,31,"9, 21, 43",43
1545,27,"23, 40, 3",3
51,47,"8, 6, 46",8
531,40,"13, 48, 28",28
27,24,"16, 50, 2",2
142,21,"43, 3, 8",2
393,46,"25, 46, 22",47
485,17,"1, 14, 26",14
302,2,"35, 33, 6",35
1500,17,"11, 51, 12",12
1523,23,"3, 51, 11",51
369,27,"51, 38, 44",38
323,4,"49, 18, 41",41
1477,44,"5, 12, 49",49
279,25,"5, 8, 46",46
258,1,"48, 18, 28",28
28,26,"43, 3, 5",5
