Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
438,32,"[51, 52, 53]",20
7,53,"[51, 52, 53]",53
347,10,"[51, 52, 53]",5
257,11,"[51, 52, 53]",30
1410,32,"[51, 52, 53]",36
1525,0,"[51, 52, 53]",42
255,7,"[51, 52, 53]",41
1547,41,"[51, 52, 53]",52
346,38,"[51, 52, 53]",41
143,15,"[51, 52, 53]",31
165,18,"[51, 52, 53]",5
120,22,"[51, 52, 53]",21
234,27,"[51, 52, 53]",43
1432,38,"[51, 52, 53]",39
1433,32,"[51, 52, 53]",17
1478,46,"[51, 52, 53]",10
53,26,"[51, 52, 53]",26
1479,47,"[51, 52, 53]",37
233,3,"[51, 52, 53]",23
531,48,"[51, 52, 53]",48
29,35,"[51, 52, 53]",4
30,29,"[51, 52, 53]",15
52,31,"[51, 52, 53]",33
325,39,"[51, 52, 53]",6
324,38,"[51, 52, 53]",40
75,31,"[51, 52, 53]",16
1386,7,"[51, 52, 53]",49
1568,6,"[51, 52, 53]",3
51,8,"[51, 52, 53]",3
1502,20,"[51, 52, 53]",42
278,49,"[51, 52, 53]",7
507,20,"[51, 52, 53]",0
1456,20,"[51, 52, 53]",32
393,25,"[51, 52, 53]",22
326,1,"[51, 52, 53]",28
232,7,"[51, 52, 53]",7
97,44,"[51, 52, 53]",9
485,26,"[51, 52, 53]",14
212,5,"[51, 52, 53]",28
187,12,"[51, 52, 53]",23
1409,7,"[51, 52, 53]",12
121,9,"[51, 52, 53]",1
301,38,"[51, 52, 53]",18
416,20,"[51, 52, 53]",47
553,13,"[51, 52, 53]",13
6,51,"[51, 52, 53]",35
279,43,"[51, 52, 53]",8
439,20,"[51, 52, 53]",50
440,14,"[51, 52, 53]",48
1363,7,"[51, 52, 53]",7
530,13,"[51, 52, 53]",24
164,16,"[51, 52, 53]",2
484,20,"[51, 52, 53]",29
144,17,"[51, 52, 53]",48
370,46,"[51, 52, 53]",11
98,21,"[51, 52, 53]",27
1455,10,"[51, 52, 53]",51
369,38,"[51, 52, 53]",44
1500,19,"[51, 52, 53]",5
1501,25,"[51, 52, 53]",25
28,23,"[51, 52, 53]",9
1548,13,"[51, 52, 53]",24
5,33,"[51, 52, 53]",2
188,43,"[51, 52, 53]",9
73,36,"[51, 52, 53]",40
1364,38,"[51, 52, 53]",38
256,8,"[51, 52, 53]",46
1569,43,"[51, 52, 53]",12
1524,20,"[51, 52, 53]",34
166,30,"[51, 52, 53]",19
303,24,"[51, 52, 53]",19
349,34,"[51, 52, 53]",28
462,53,"[51, 52, 53]",50
50,40,"[51, 52, 53]",2
142,45,"[51, 52, 53]",8
554,48,"[51, 52, 53]",28
76,48,"[51, 52, 53]",48
392,32,"[51, 52, 53]",45
463,37,"[51, 52, 53]",28
189,42,"[51, 52, 53]",1
394,50,"[51, 52, 53]",19
1545,52,"[51, 52, 53]",2
167,28,"[51, 52, 53]",28
1431,2,"[51, 52, 53]",2
1454,2,"[51, 52, 53]",23
258,28,"[51, 52, 53]",28
281,28,"[51, 52, 53]",28
372,28,"[51, 52, 53]",28
211,43,"[51, 52, 53]",43
1570,4,"[51, 52, 53]",15
96,2,"[51, 52, 53]",3
119,8,"[51, 52, 53]",8
508,48,"[51, 52, 53]",29
348,43,"[51, 52, 53]",35
235,28,"[51, 52, 53]",28
1522,2,"[51, 52, 53]",2
395,28,"[51, 52, 53]",28
210,2,"[51, 52, 53]",49
74,43,"[51, 52, 53]",31
371,31,"[51, 52, 53]",4
1477,2,"[51, 52, 53]",39
280,30,"[51, 52, 53]",30
417,28,"[51, 52, 53]",27
302,43,"[51, 52, 53]",46
