Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
1524,46,"[51, 52, 53]",20
462,16,"[51, 52, 53]",53
1523,1,"[51, 52, 53]",5
143,9,"[51, 52, 53]",30
438,32,"[51, 52, 53]",36
1525,0,"[51, 52, 53]",42
1341,49,"[51, 52, 53]",41
439,34,"[51, 52, 53]",52
301,38,"[51, 52, 53]",41
166,15,"[51, 52, 53]",31
120,21,"[51, 52, 53]",21
51,8,"[51, 52, 53]",43
1500,3,"[51, 52, 53]",39
484,20,"[51, 52, 53]",17
1501,25,"[51, 52, 53]",10
30,26,"[51, 52, 53]",26
1479,42,"[51, 52, 53]",37
164,5,"[51, 52, 53]",23
440,4,"[51, 52, 53]",48
371,31,"[51, 52, 53]",4
1502,20,"[51, 52, 53]",15
52,24,"[51, 52, 53]",33
29,35,"[51, 52, 53]",6
1568,11,"[51, 52, 53]",40
7,16,"[51, 52, 53]",16
233,40,"[51, 52, 53]",49
74,39,"[51, 52, 53]",3
119,17,"[51, 52, 53]",3
1386,7,"[51, 52, 53]",7
1548,13,"[51, 52, 53]",0
1433,32,"[51, 52, 53]",32
370,10,"[51, 52, 53]",22
235,6,"[51, 52, 53]",28
97,45,"[51, 52, 53]",9
53,26,"[51, 52, 53]",14
372,14,"[51, 52, 53]",28
96,22,"[51, 52, 53]",40
1477,27,"[51, 52, 53]",23
1478,51,"[51, 52, 53]",12
121,19,"[51, 52, 53]",1
369,38,"[51, 52, 53]",18
1547,20,"[51, 52, 53]",47
348,43,"[51, 52, 53]",35
28,36,"[51, 52, 53]",8
1570,20,"[51, 52, 53]",50
531,26,"[51, 52, 53]",48
507,20,"[51, 52, 53]",24
279,41,"[51, 52, 53]",2
508,29,"[51, 52, 53]",29
1455,51,"[51, 52, 53]",11
6,43,"[51, 52, 53]",5
417,23,"[51, 52, 53]",27
346,38,"[51, 52, 53]",18
324,49,"[51, 52, 53]",51
1364,18,"[51, 52, 53]",44
1409,7,"[51, 52, 53]",5
393,12,"[51, 52, 53]",25
1454,47,"[51, 52, 53]",40
553,13,"[51, 52, 53]",24
5,2,"[51, 52, 53]",2
187,2,"[51, 52, 53]",40
347,51,"[51, 52, 53]",38
325,43,"[51, 52, 53]",46
416,50,"[51, 52, 53]",34
165,2,"[51, 52, 53]",9
98,33,"[51, 52, 53]",19
142,2,"[51, 52, 53]",9
530,0,"[51, 52, 53]",13
212,37,"[51, 52, 53]",19
188,43,"[51, 52, 53]",46
486,44,"[51, 52, 53]",28
1571,13,"[51, 52, 53]",13
1545,2,"[51, 52, 53]",2
349,52,"[51, 52, 53]",28
167,28,"[51, 52, 53]",48
1387,18,"[51, 52, 53]",45
326,28,"[51, 52, 53]",27
463,28,"[51, 52, 53]",48
485,53,"[51, 52, 53]",29
190,28,"[51, 52, 53]",28
554,48,"[51, 52, 53]",28
1569,43,"[51, 52, 53]",3
234,43,"[51, 52, 53]",43
303,30,"[51, 52, 53]",28
144,28,"[51, 52, 53]",1
258,28,"[51, 52, 53]",28
73,2,"[51, 52, 53]",2
395,28,"[51, 52, 53]",28
281,28,"[51, 52, 53]",28
99,48,"[51, 52, 53]",28
76,26,"[51, 52, 53]",26
255,7,"[51, 52, 53]",7
394,30,"[51, 52, 53]",16
257,43,"[51, 52, 53]",31
256,8,"[51, 52, 53]",12
210,2,"[51, 52, 53]",39
211,43,"[51, 52, 53]",21
1546,2,"[51, 52, 53]",6
278,7,"[51, 52, 53]",49
280,30,"[51, 52, 53]",30
302,43,"[51, 52, 53]",8
