Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
904,0,"[47, 10, 20]",20
1064,38,"[4, 16, 34]",34
995,1,"[51, 11, 12]",5
1269,41,"[19, 31, 30]",30
882,2,"[32, 36, 17]",36
1541,3,"[24, 17, 42]",42
1313,4,"[49, 12, 51]",7
996,5,"[17, 52, 50]",52
835,6,"[18, 49, 41]",41
1063,7,"[3, 8, 46]",31
1383,43,"[27, 30, 19]",30
1245,8,"[39, 43, 5]",5
1542,45,"[50, 15, 53]",53
1177,9,"[21, 43, 9]",21
1223,10,"[21, 31, 43]",43
1222,11,"[5, 9, 39]",39
1360,47,"[30, 19, 31]",31
1564,12,"[0, 17, 42]",17
1427,13,"[11, 10, 22]",10
2,49,"[29, 26, 14]",26
1019,51,"[50, 0, 37]",37
994,14,"[23, 39, 8]",23
25,53,"[14, 26, 48]",48
1405,15,"[25, 22, 46]",4
1042,28,"[29, 0, 15]",15
1337,16,"[6, 21, 33]",21
1086,17,"[21, 6, 46]",6
971,18,"[23, 40, 3]",40
1474,28,"[27, 14, 16]",16
1519,19,"[34, 16, 50]",25
1040,20,"[39, 5, 46]",3
47,21,"[0, 24, 13]",13
1,22,"[42, 24, 0]",0
1518,23,"[32, 42, 17]",32
1359,24,"[3, 11, 22]",22
1132,28,"[21, 4, 33]",33
1247,28,"[41, 48, 28]",28
974,25,"[0, 24, 13]",13
949,26,"[38, 12, 11]",9
1246,28,"[43, 30, 31]",31
1315,28,"[1, 48, 28]",28
1199,27,"[8, 23, 3]",23
926,29,"[38, 51, 12]",51
1497,28,"[1, 26, 27]",1
1110,28,"[29, 16, 14]",14
1358,30,"[41, 49, 18]",18
927,31,"[52, 20, 47]",47
1041,32,"[52, 35, 25]",35
1131,33,"[43, 8, 9]",8
950,34,"[50, 20, 47]",50
1429,28,"[28, 1, 48]",48
903,35,"[39, 51, 49]",39
1176,36,"[3, 2, 40]",2
1200,37,"[31, 21, 43]",43
1336,39,"[38, 12, 11]",12
1244,42,"[7, 40, 23]",2
1565,28,"[14, 29, 15]",29
972,44,"[12, 35, 22]",11
1017,46,"[43, 5, 39]",5
1178,28,"[19, 1, 27]",27
1290,48,"[51, 39, 49]",49
1156,28,"[26, 1, 48]",48
1381,50,"[41, 44, 38]",44
997,52,"[28, 24, 13]",13
1382,40,"[35, 5, 12]",25
951,40,"[42, 13, 24]",24
858,40,"[51, 44, 38]",38
928,40,"[17, 42, 24]",24
1335,40,"[18, 7, 41]",41
1520,28,"[26, 48, 1]",1
1018,40,"[35, 46, 22]",46
905,40,"[42, 36, 17]",17
24,40,"[0, 24, 13]",24
1543,28,"[1, 28, 48]",48
1155,28,"[4, 30, 19]",19
812,40,"[18, 7, 41]",41
1496,40,"[53, 25, 52]",22
1154,40,"[43, 3, 8]",43
1201,28,"[28, 27, 1]",1
1452,28,"[18, 48, 28]",28
1133,28,"[1, 14, 26]",27
1270,28,"[18, 48, 28]",28
1450,40,"[20, 22, 47]",17
1292,28,"[1, 28, 19]",19
836,40,"[44, 36, 45]",45
1179,28,"[13, 48, 28]",28
1406,28,"[27, 1, 19]",19
1338,28,"[25, 48, 28]",28
859,40,"[17, 45, 36]",45
1108,40,"[9, 3, 8]",3
1566,28,"[11, 48, 28]",28
1153,40,"[3, 40, 2]",2
973,40,"[47, 52, 50]",20
1361,28,"[25, 48, 28]",28
1384,28,"[11, 22, 28]",28
948,40,"[23, 2, 40]",40
1224,28,"[28, 1, 48]",28
1472,40,"[18, 45, 44]",44
1473,40,"[22, 25, 47]",11
1314,40,"[33, 21, 6]",9
1065,40,"[14, 26, 29]",26
880,40,"[23, 49, 39]",49
1267,40,"[39, 23, 7]",7
1451,40,"[35, 4, 34]",4
1428,40,"[52, 25, 35]",52
1109,40,"[21, 6, 33]",6
1087,28,"[16, 34, 53]",34
1268,40,"[3, 6, 46]",46
1291,40,"[8, 6, 46]",8
