Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
1433,14,"32, 47, 20",20
30,36,"15, 16, 53",53
1523,42,"9, 39, 5",5
189,40,"19, 31, 30",30
438,2,"45, 32, 36",36
507,8,"17, 0, 42",42
1341,41,"18, 49, 41",41
439,23,"47, 22, 25",52
278,26,"49, 7, 41",41
166,11,"43, 30, 31",31
302,18,"51, 35, 11",5
234,37,"21, 9, 6",21
143,17,"31, 21, 43",43
1569,32,"46, 3, 12",39
484,13,"0, 42, 17",17
393,53,"47, 10, 22",10
417,27,"27, 19, 16",26
1525,46,"42, 37, 50",37
256,24,"51, 49, 12",23
167,31,"1, 28, 48",48
394,10,"34, 33, 4",4
1571,52,"13, 24, 29",15
371,36,"34, 33, 35",33
52,15,"6, 4, 33",6
96,43,"3, 2, 40",40
462,38,"53, 50, 34",16
1409,46,"41, 39, 49",49
531,1,"48, 14, 26",26
119,6,"23, 40, 3",3
188,46,"3, 43, 5",3
553,20,"0, 13, 24",13
1386,31,"39, 23, 7",7
1548,13,"24, 37, 0",0
1456,5,"47, 52, 20",32
348,16,"6, 46, 35",22
235,21,"48, 1, 28",28
120,4,"21, 43, 9",9
53,49,"26, 29, 14",14
99,39,"1, 28, 48",28
1524,51,"10, 11, 22",12
98,39,"30, 19, 27",1
301,30,"18, 38, 49",18
416,9,"47, 22, 10",47
369,6,"41, 44, 18",18
485,48,"14, 15, 53",15
76,34,"1, 14, 26",26
370,12,"11, 51, 22",35
28,44,"9, 8, 3",8
1479,30,"37, 47, 20",50
144,15,"28, 48, 1",48
210,45,"7, 39, 23",39
530,30,"42, 0, 24",24
5,21,"2, 3, 40",2
1478,29,"8, 3, 22",12
73,38,"16, 40, 2",2
508,6,"15, 14, 29",29
1501,53,"51, 12, 11",11
121,39,"26, 1, 27",27
1432,6,"12, 38, 51",51
1364,0,"18, 38, 44",44
1546,35,"39, 12, 46",5
1547,31,"47, 25, 22",25
279,7,"51, 11, 12",12
51,47,"3, 8, 9",9
1568,0,"3, 40, 2",2
211,29,"8, 6, 46",9
1477,3,"3, 40, 23",40
1502,51,"37, 15, 50",32
1500,29,"8, 23, 39",23
1387,15,"44, 45, 38",38
29,30,"46, 35, 6",46
1454,10,"23, 40, 2",40
7,25,"53, 52, 34",34
463,21,"1, 28, 48",48
75,33,"19, 33, 4",19
212,28,"28, 30, 19",19
281,38,"25, 48, 28",28
303,1,"27, 19, 30",30
415,44,"36, 44, 45",45
190,15,"41, 48, 28",28
326,47,"30, 27, 19",27
554,39,"26, 28, 48",48
1455,34,"12, 38, 11",2
372,0,"1, 48, 28",28
304,46,"11, 22, 28",28
258,43,"25, 48, 28",28
187,10,"7, 23, 40",23
142,47,"3, 9, 8",3
486,22,"2, 48, 28",28
255,19,"49, 41, 7",7
1570,29,"34, 52, 25",47
349,10,"28, 48, 1",28
74,50,"43, 9, 8",8
395,44,"47, 48, 28",28
280,28,"30, 33, 31",31
440,28,"48, 26, 1",1
392,23,"38, 18, 44",44
347,23,"10, 51, 11",51
257,21,"33, 6, 21",21
233,53,"5, 39, 49",49
325,1,"22, 46, 5",6
6,9,"5, 8, 46",46
