Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
1524,20,"[51, 52, 53]",20
7,53,"[51, 52, 53]",53
1546,4,"[51, 52, 53]",5
143,6,"[51, 52, 53]",30
1433,32,"[51, 52, 53]",36
1502,20,"[51, 52, 53]",42
255,7,"[51, 52, 53]",41
439,22,"[51, 52, 53]",52
234,10,"[51, 52, 53]",31
74,12,"[51, 52, 53]",21
120,16,"[51, 52, 53]",43
210,8,"[51, 52, 53]",39
1479,20,"[51, 52, 53]",17
1478,46,"[51, 52, 53]",10
53,29,"[51, 52, 53]",26
507,0,"[51, 52, 53]",37
164,14,"[51, 52, 53]",23
531,3,"[51, 52, 53]",48
325,23,"[51, 52, 53]",4
484,20,"[51, 52, 53]",15
302,33,"[51, 52, 53]",33
1569,37,"[51, 52, 53]",6
5,17,"[51, 52, 53]",40
75,19,"[51, 52, 53]",16
1386,49,"[51, 52, 53]",49
1545,24,"[51, 52, 53]",3
324,51,"[51, 52, 53]",3
211,41,"[51, 52, 53]",43
1547,20,"[51, 52, 53]",42
1548,13,"[51, 52, 53]",13
1454,34,"[51, 52, 53]",7
530,13,"[51, 52, 53]",0
1456,36,"[51, 52, 53]",32
393,20,"[51, 52, 53]",22
280,5,"[51, 52, 53]",28
232,7,"[51, 52, 53]",7
188,47,"[51, 52, 53]",9
462,53,"[51, 52, 53]",14
235,9,"[51, 52, 53]",28
141,39,"[51, 52, 53]",40
278,7,"[51, 52, 53]",23
1409,38,"[51, 52, 53]",12
371,31,"[51, 52, 53]",1
485,26,"[51, 52, 53]",14
346,38,"[51, 52, 53]",18
1501,25,"[51, 52, 53]",47
6,52,"[51, 52, 53]",35
187,42,"[51, 52, 53]",8
1570,22,"[51, 52, 53]",50
212,11,"[51, 52, 53]",48
1363,7,"[51, 52, 53]",7
1525,0,"[51, 52, 53]",24
28,48,"[51, 52, 53]",2
30,29,"[51, 52, 53]",29
508,15,"[51, 52, 53]",48
1523,8,"[51, 52, 53]",39
1455,44,"[51, 52, 53]",11
394,21,"[51, 52, 53]",27
1341,38,"[51, 52, 53]",18
1432,51,"[51, 52, 53]",51
1364,18,"[51, 52, 53]",44
416,20,"[51, 52, 53]",25
142,2,"[51, 52, 53]",8
165,43,"[51, 52, 53]",9
119,2,"[51, 52, 53]",9
256,43,"[51, 52, 53]",40
121,27,"[51, 52, 53]",1
301,38,"[51, 52, 53]",38
233,2,"[51, 52, 53]",46
73,2,"[51, 52, 53]",40
52,31,"[51, 52, 53]",34
189,35,"[51, 52, 53]",48
166,30,"[51, 52, 53]",19
98,1,"[51, 52, 53]",26
417,40,"[51, 52, 53]",1
258,45,"[51, 52, 53]",28
1410,32,"[51, 52, 53]",45
440,50,"[51, 52, 53]",28
348,43,"[51, 52, 53]",19
50,2,"[51, 52, 53]",2
303,28,"[51, 52, 53]",28
1431,2,"[51, 52, 53]",23
167,28,"[51, 52, 53]",28
96,8,"[51, 52, 53]",3
372,28,"[51, 52, 53]",28
144,28,"[51, 52, 53]",28
1568,8,"[51, 52, 53]",8
463,28,"[51, 52, 53]",28
326,28,"[51, 52, 53]",28
1522,2,"[51, 52, 53]",2
29,43,"[51, 52, 53]",34
279,43,"[51, 52, 53]",46
553,13,"[51, 52, 53]",29
349,28,"[51, 52, 53]",28
51,43,"[51, 52, 53]",5
370,46,"[51, 52, 53]",51
97,43,"[51, 52, 53]",6
1500,8,"[51, 52, 53]",12
369,38,"[51, 52, 53]",38
1477,8,"[51, 52, 53]",49
415,32,"[51, 52, 53]",20
257,30,"[51, 52, 53]",30
