Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
950,45,"[25, 4, 47]",20
1064,8,"[35, 34, 4]",34
1040,0,"[39, 43, 5]",5
1269,10,"[19, 31, 30]",30
1518,49,"[32, 36, 17]",36
905,52,"[20, 42, 17]",42
835,1,"[49, 7, 41]",7
1451,2,"[52, 25, 35]",52
1358,3,"[18, 49, 41]",41
1246,12,"[21, 43, 31]",31
1110,14,"[27, 14, 16]",53
1132,16,"[6, 21, 33]",21
1155,19,"[33, 21, 31]",43
903,4,"[7, 49, 39]",39
928,44,"[24, 17, 42]",17
1450,44,"[47, 20, 10]",10
1088,21,"[48, 14, 26]",26
1542,23,"[53, 50, 37]",37
880,5,"[40, 7, 23]",23
1247,26,"[1, 28, 48]",48
1041,6,"[52, 25, 35]",4
1042,28,"[53, 0, 15]",15
1314,7,"[21, 6, 46]",6
971,9,"[3, 2, 40]",40
1474,30,"[27, 53, 16]",16
1245,11,"[9, 5, 39]",39
1473,44,"[52, 20, 47]",25
972,13,"[3, 11, 22]",3
1177,15,"[3, 43, 8]",3
1223,17,"[31, 21, 43]",43
997,24,"[0, 24, 13]",13
1065,32,"[14, 15, 29]",0
882,44,"[36, 17, 32]",32
927,44,"[20, 22, 47]",22
1360,34,"[4, 21, 33]",33
1199,20,"[3, 23, 40]",23
1154,22,"[43, 8, 9]",9
1313,25,"[39, 51, 49]",51
1406,36,"[1, 27, 19]",1
1087,38,"[16, 34, 4]",14
1381,27,"[44, 38, 18]",18
973,44,"[25, 52, 47]",47
1337,40,"[33, 21, 6]",35
1086,29,"[8, 6, 46]",8
1019,42,"[53, 37, 50]",50
1543,46,"[26, 1, 48]",48
1176,31,"[23, 2, 40]",2
995,33,"[35, 5, 12]",12
1085,35,"[3, 2, 40]",2
2,50,"[15, 14, 29]",29
1429,53,"[19, 27, 1]",1
1290,37,"[23, 49, 39]",39
881,39,"[51, 11, 10]",11
1497,48,"[27, 16, 14]",27
1200,41,"[31, 43, 9]",9
858,43,"[51, 44, 38]",49
1404,47,"[51, 44, 38]",44
1564,44,"[17, 42, 24]",24
1131,51,"[3, 9, 8]",8
1427,44,"[45, 38, 10]",38
836,44,"[36, 44, 45]",44
974,24,"[0, 13, 24]",0
1267,18,"[40, 23, 7]",40
24,24,"[0, 24, 13]",24
926,18,"[5, 51, 49]",2
1222,18,"[8, 23, 39]",8
1018,18,"[25, 22, 46]",46
951,44,"[42, 24, 0]",0
1224,48,"[28, 48, 1]",48
1178,48,"[27, 30, 19]",19
813,44,"[41, 44, 18]",18
1,44,"[13, 0, 24]",24
1520,48,"[1, 14, 26]",26
1109,18,"[9, 21, 6]",9
1384,48,"[22, 25, 28]",28
1017,18,"[39, 8, 9]",23
1062,18,"[3, 40, 2]",2
859,44,"[32, 45, 36]",45
1270,48,"[18, 48, 28]",28
1156,48,"[48, 1, 26]",1
1565,48,"[53, 0, 15]",37
1359,18,"[38, 12, 11]",2
1179,48,"[1, 28, 48]",28
994,18,"[40, 23, 3]",3
1496,44,"[17, 20, 52]",53
1063,18,"[6, 3, 46]",40
1452,48,"[18, 48, 28]",28
1293,48,"[48, 18, 28]",28
1475,48,"[18, 48, 28]",28
1108,18,"[8, 40, 3]",3
1405,18,"[5, 11, 12]",51
1495,44,"[44, 36, 45]",45
1361,48,"[25, 48, 28]",28
948,18,"[3, 40, 2]",2
1519,44,"[17, 52, 50]",20
1541,44,"[36, 17, 42]",42
1201,48,"[19, 27, 1]",19
1202,48,"[11, 48, 28]",28
1382,18,"[12, 35, 22]",5
949,18,"[49, 11, 12]",11
1566,48,"[11, 48, 28]",28
47,24,"[48, 24, 13]",13
1383,48,"[31, 19, 30]",31
996,44,"[53, 50, 52]",17
1336,18,"[51, 12, 38]",49
1428,18,"[35, 46, 22]",6
1133,48,"[27, 26, 14]",14
1268,18,"[43, 39, 46]",46
