Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
904,0,"[32, 22, 10]",20
1451,1,"[52, 4, 35]",34
926,2,"[49, 51, 12]",5
1269,31,"[19, 31, 30]",30
882,3,"[36, 17, 32]",36
905,4,"[36, 42, 17]",42
1267,5,"[40, 23, 7]",7
996,6,"[17, 52, 50]",52
1358,7,"[49, 41, 18]",41
1155,33,"[19, 31, 30]",31
1040,8,"[39, 43, 5]",5
1496,9,"[25, 20, 52]",53
1017,10,"[9, 39, 5]",39
1291,11,"[8, 6, 46]",31
1541,12,"[24, 17, 42]",17
1427,13,"[11, 38, 10]",10
1497,35,"[26, 14, 27]",26
1542,37,"[50, 37, 53]",37
880,14,"[39, 7, 23]",23
1224,39,"[28, 48, 1]",48
1041,15,"[52, 25, 35]",4
1565,42,"[53, 29, 15]",15
1360,44,"[30, 33, 21]",21
1018,16,"[35, 22, 46]",6
1085,17,"[2, 3, 40]",40
1064,46,"[16, 34, 4]",16
973,18,"[17, 52, 47]",25
1131,19,"[3, 9, 8]",3
994,20,"[23, 8, 3]",3
1019,48,"[42, 50, 37]",42
974,21,"[0, 13, 24]",13
1042,50,"[53, 0, 15]",0
1450,22,"[25, 47, 20]",32
972,23,"[11, 35, 22]",22
1086,24,"[8, 6, 46]",33
1292,52,"[28, 30, 19]",28
1063,25,"[3, 6, 46]",9
1246,28,"[43, 30, 31]",31
1315,28,"[19, 1, 28]",28
1313,26,"[49, 39, 51]",51
1520,28,"[48, 26, 1]",1
1133,28,"[27, 14, 26]",14
1381,27,"[18, 38, 44]",18
950,29,"[52, 20, 47]",47
997,30,"[45, 24, 13]",13
1382,32,"[5, 12, 35]",35
1222,34,"[23, 8, 39]",8
1519,36,"[34, 16, 50]",50
1290,38,"[41, 39, 49]",39
971,41,"[2, 3, 40]",2
1359,43,"[22, 12, 11]",12
948,45,"[3, 40, 2]",2
2,28,"[26, 14, 29]",29
1429,28,"[27, 48, 1]",1
949,47,"[38, 12, 11]",11
1087,28,"[4, 53, 34]",27
995,49,"[5, 25, 12]",9
903,51,"[51, 39, 49]",49
1245,53,"[43, 39, 5]",5
1156,28,"[26, 1, 48]",48
858,40,"[51, 44, 38]",44
951,40,"[0, 42, 24]",24
1268,40,"[39, 5, 46]",8
881,40,"[38, 11, 10]",38
1199,40,"[40, 23, 3]",40
928,40,"[17, 24, 42]",24
1314,40,"[21, 46, 6]",46
1176,40,"[23, 2, 40]",40
24,40,"[0, 24, 13]",24
1178,28,"[1, 19, 27]",19
1475,28,"[18, 48, 28]",28
1383,28,"[27, 19, 30]",30
1153,40,"[23, 40, 2]",2
1065,40,"[14, 15, 29]",15
1179,28,"[1, 28, 48]",28
1247,28,"[26, 28, 48]",48
859,40,"[32, 45, 36]",45
1566,28,"[11, 48, 28]",28
1132,40,"[4, 21, 33]",33
1452,28,"[18, 48, 28]",28
1384,28,"[11, 22, 28]",28
1361,28,"[25, 48, 28]",28
1474,28,"[27, 14, 16]",14
927,40,"[52, 20, 47]",20
47,40,"[0, 24, 13]",13
1335,40,"[18, 7, 41]",41
1110,28,"[27, 14, 16]",29
1336,40,"[38, 11, 12]",51
1338,28,"[25, 48, 28]",28
1543,28,"[1, 28, 48]",48
1201,28,"[19, 27, 1]",27
1108,40,"[9, 8, 3]",3
1062,40,"[40, 3, 2]",2
1,40,"[42, 24, 0]",0
1270,28,"[18, 48, 28]",28
1406,28,"[1, 27, 19]",19
1518,40,"[32, 36, 17]",17
835,40,"[7, 49, 41]",49
1337,40,"[21, 33, 6]",6
1428,40,"[25, 46, 35]",46
