Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
438,32,"[51, 52, 53]",20
1547,42,"[51, 52, 53]",53
210,8,"[51, 52, 53]",5
257,30,"[51, 52, 53]",30
1410,32,"[51, 52, 53]",36
1502,50,"[51, 52, 53]",42
278,49,"[51, 52, 53]",41
29,5,"[51, 52, 53]",52
74,9,"[51, 52, 53]",31
347,46,"[51, 52, 53]",5
530,0,"[51, 52, 53]",53
120,11,"[51, 52, 53]",21
142,12,"[51, 52, 53]",43
1454,16,"[51, 52, 53]",39
1433,32,"[51, 52, 53]",17
393,25,"[51, 52, 53]",10
98,1,"[51, 52, 53]",26
507,0,"[51, 52, 53]",37
1431,21,"[51, 52, 53]",23
531,3,"[51, 52, 53]",48
348,15,"[51, 52, 53]",4
30,53,"[51, 52, 53]",15
325,18,"[51, 52, 53]",33
1523,8,"[51, 52, 53]",6
73,27,"[51, 52, 53]",40
75,19,"[51, 52, 53]",16
187,34,"[51, 52, 53]",39
1386,49,"[51, 52, 53]",49
51,24,"[51, 52, 53]",3
1568,8,"[51, 52, 53]",3
232,7,"[51, 52, 53]",7
7,53,"[51, 52, 53]",0
1456,20,"[51, 52, 53]",32
6,33,"[51, 52, 53]",22
303,4,"[51, 52, 53]",28
188,36,"[51, 52, 53]",9
485,26,"[51, 52, 53]",14
326,6,"[51, 52, 53]",28
164,37,"[51, 52, 53]",40
1546,40,"[51, 52, 53]",12
121,10,"[51, 52, 53]",1
53,48,"[51, 52, 53]",14
346,38,"[51, 52, 53]",18
1524,20,"[51, 52, 53]",47
1501,25,"[51, 52, 53]",35
119,41,"[51, 52, 53]",8
484,20,"[51, 52, 53]",50
417,14,"[51, 52, 53]",48
1363,7,"[51, 52, 53]",7
1525,0,"[51, 52, 53]",24
28,47,"[51, 52, 53]",2
1522,2,"[51, 52, 53]",2
1570,22,"[51, 52, 53]",29
255,7,"[51, 52, 53]",7
144,17,"[51, 52, 53]",48
1569,45,"[51, 52, 53]",11
1409,38,"[51, 52, 53]",39
394,23,"[51, 52, 53]",27
1341,38,"[51, 52, 53]",18
1478,46,"[51, 52, 53]",51
1364,38,"[51, 52, 53]",44
1571,13,"[51, 52, 53]",13
416,20,"[51, 52, 53]",25
1479,20,"[51, 52, 53]",0
1545,2,"[51, 52, 53]",40
233,2,"[51, 52, 53]",9
324,38,"[51, 52, 53]",40
1455,46,"[51, 52, 53]",38
256,52,"[51, 52, 53]",46
439,22,"[51, 52, 53]",34
1548,13,"[51, 52, 53]",13
461,20,"[51, 52, 53]",52
143,43,"[51, 52, 53]",19
189,29,"[51, 52, 53]",1
372,35,"[51, 52, 53]",28
52,31,"[51, 52, 53]",53
1387,32,"[51, 52, 53]",45
349,39,"[51, 52, 53]",28
166,30,"[51, 52, 53]",27
212,44,"[51, 52, 53]",28
96,8,"[51, 52, 53]",3
235,51,"[51, 52, 53]",28
5,2,"[51, 52, 53]",3
463,28,"[51, 52, 53]",28
508,28,"[51, 52, 53]",26
302,43,"[51, 52, 53]",6
462,53,"[51, 52, 53]",15
258,28,"[51, 52, 53]",28
440,28,"[51, 52, 53]",28
280,28,"[51, 52, 53]",30
141,2,"[51, 52, 53]",2
167,28,"[51, 52, 53]",28
50,2,"[51, 52, 53]",23
370,46,"[51, 52, 53]",38
553,13,"[51, 52, 53]",29
1500,8,"[51, 52, 53]",12
234,43,"[51, 52, 53]",31
371,31,"[51, 52, 53]",19
301,38,"[51, 52, 53]",51
1477,8,"[51, 52, 53]",49
211,43,"[51, 52, 53]",43
279,43,"[51, 52, 53]",46
165,43,"[51, 52, 53]",8
