Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
416,25,"[51, 52, 53]",20
484,20,"[51, 52, 53]",53
165,0,"[51, 52, 53]",5
166,11,"[51, 52, 53]",30
415,32,"[51, 52, 53]",36
1525,20,"[51, 52, 53]",42
1386,7,"[51, 52, 53]",41
439,34,"[51, 52, 53]",52
143,14,"[51, 52, 53]",31
234,19,"[51, 52, 53]",21
120,23,"[51, 52, 53]",43
1500,1,"[51, 52, 53]",39
1524,25,"[51, 52, 53]",17
370,46,"[51, 52, 53]",10
53,26,"[51, 52, 53]",26
462,16,"[51, 52, 53]",37
164,3,"[51, 52, 53]",23
167,4,"[51, 52, 53]",48
371,30,"[51, 52, 53]",4
1502,20,"[51, 52, 53]",15
52,29,"[51, 52, 53]",33
29,35,"[51, 52, 53]",6
75,30,"[51, 52, 53]",16
210,6,"[51, 52, 53]",39
233,12,"[51, 52, 53]",49
51,8,"[51, 52, 53]",3
28,15,"[51, 52, 53]",3
461,32,"[51, 52, 53]",36
1479,20,"[51, 52, 53]",42
1477,21,"[51, 52, 53]",7
530,42,"[51, 52, 53]",0
1410,32,"[51, 52, 53]",32
1501,25,"[51, 52, 53]",22
326,9,"[51, 52, 53]",28
97,39,"[51, 52, 53]",9
30,26,"[51, 52, 53]",14
349,13,"[51, 52, 53]",28
96,24,"[51, 52, 53]",40
187,31,"[51, 52, 53]",23
1478,46,"[51, 52, 53]",12
121,17,"[51, 52, 53]",1
369,52,"[51, 52, 53]",18
1433,32,"[51, 52, 53]",47
348,44,"[51, 52, 53]",35
1569,49,"[51, 52, 53]",8
1570,20,"[51, 52, 53]",50
531,48,"[51, 52, 53]",48
507,20,"[51, 52, 53]",24
5,36,"[51, 52, 53]",2
485,26,"[51, 52, 53]",29
324,38,"[51, 52, 53]",11
417,22,"[51, 52, 53]",27
1432,38,"[51, 52, 53]",51
302,53,"[51, 52, 53]",5
1364,38,"[51, 52, 53]",44
393,25,"[51, 52, 53]",25
1548,42,"[51, 52, 53]",24
142,40,"[51, 52, 53]",9
1568,45,"[51, 52, 53]",40
279,5,"[51, 52, 53]",40
1454,50,"[51, 52, 53]",23
347,10,"[51, 52, 53]",38
6,43,"[51, 52, 53]",46
1409,7,"[51, 52, 53]",39
7,16,"[51, 52, 53]",50
1547,25,"[51, 52, 53]",34
438,32,"[51, 52, 53]",17
440,27,"[51, 52, 53]",48
98,33,"[51, 52, 53]",19
211,43,"[51, 52, 53]",9
553,42,"[51, 52, 53]",13
281,37,"[51, 52, 53]",28
73,2,"[51, 52, 53]",2
1387,18,"[51, 52, 53]",45
258,41,"[51, 52, 53]",28
303,30,"[51, 52, 53]",27
212,47,"[51, 52, 53]",1
144,51,"[51, 52, 53]",48
1545,2,"[51, 52, 53]",2
76,48,"[51, 52, 53]",26
486,28,"[51, 52, 53]",28
190,28,"[51, 52, 53]",28
554,48,"[51, 52, 53]",28
372,28,"[51, 52, 53]",28
235,28,"[51, 52, 53]",28
463,28,"[51, 52, 53]",28
189,30,"[51, 52, 53]",19
325,43,"[51, 52, 53]",35
346,38,"[51, 52, 53]",18
395,28,"[51, 52, 53]",28
188,43,"[51, 52, 53]",21
508,26,"[51, 52, 53]",14
257,43,"[51, 52, 53]",31
256,2,"[51, 52, 53]",12
301,38,"[51, 52, 53]",51
278,38,"[51, 52, 53]",49
280,30,"[51, 52, 53]",30
1546,2,"[51, 52, 53]",6
74,43,"[51, 52, 53]",43
1523,2,"[51, 52, 53]",46
119,2,"[51, 52, 53]",8
