Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
1433,38,"[51, 52, 53]",20
462,52,"[51, 52, 53]",53
188,23,"[51, 52, 53]",5
189,30,"[51, 52, 53]",30
507,42,"[51, 52, 53]",42
1341,7,"[51, 52, 53]",41
1502,50,"[51, 52, 53]",52
278,7,"[51, 52, 53]",41
166,26,"[51, 52, 53]",31
325,34,"[51, 52, 53]",5
52,39,"[51, 52, 53]",21
143,44,"[51, 52, 53]",43
1500,1,"[51, 52, 53]",39
1456,10,"[51, 52, 53]",17
393,10,"[51, 52, 53]",10
531,29,"[51, 52, 53]",26
1479,17,"[51, 52, 53]",37
210,4,"[51, 52, 53]",23
144,3,"[51, 52, 53]",48
394,6,"[51, 52, 53]",4
485,52,"[51, 52, 53]",15
75,47,"[51, 52, 53]",33
29,43,"[51, 52, 53]",6
1454,12,"[51, 52, 53]",40
30,14,"[51, 52, 53]",16
1409,7,"[51, 52, 53]",49
440,9,"[51, 52, 53]",26
28,18,"[51, 52, 53]",3
142,21,"[51, 52, 53]",3
1386,7,"[51, 52, 53]",7
1548,37,"[51, 52, 53]",0
484,42,"[51, 52, 53]",32
370,51,"[51, 52, 53]",22
235,15,"[51, 52, 53]",28
74,8,"[51, 52, 53]",9
508,53,"[51, 52, 53]",14
258,20,"[51, 52, 53]",28
187,24,"[51, 52, 53]",40
1455,27,"[51, 52, 53]",12
121,22,"[51, 52, 53]",1
76,48,"[51, 52, 53]",14
301,49,"[51, 52, 53]",18
416,11,"[51, 52, 53]",47
576,13,"[51, 52, 53]",13
1570,33,"[51, 52, 53]",35
5,35,"[51, 52, 53]",8
1525,50,"[51, 52, 53]",50
99,25,"[51, 52, 53]",48
233,40,"[51, 52, 53]",39
530,0,"[51, 52, 53]",24
51,8,"[51, 52, 53]",2
96,45,"[51, 52, 53]",2
8,13,"[51, 52, 53]",29
463,32,"[51, 52, 53]",48
302,2,"[51, 52, 53]",11
98,31,"[51, 52, 53]",27
256,2,"[51, 52, 53]",51
1571,13,"[51, 52, 53]",29
1523,8,"[51, 52, 53]",5
1364,49,"[51, 52, 53]",44
439,50,"[51, 52, 53]",25
234,43,"[51, 52, 53]",9
1477,2,"[51, 52, 53]",23
119,2,"[51, 52, 53]",40
1478,51,"[51, 52, 53]",38
1547,11,"[51, 52, 53]",46
7,52,"[51, 52, 53]",34
553,13,"[51, 52, 53]",13
417,19,"[51, 52, 53]",19
369,38,"[51, 52, 53]",18
212,30,"[51, 52, 53]",19
349,36,"[51, 52, 53]",1
213,41,"[51, 52, 53]",28
1546,8,"[51, 52, 53]",23
1568,2,"[51, 52, 53]",2
438,38,"[51, 52, 53]",36
281,46,"[51, 52, 53]",28
415,38,"[51, 52, 53]",45
190,28,"[51, 52, 53]",28
165,2,"[51, 52, 53]",9
554,28,"[51, 52, 53]",48
1432,2,"[51, 52, 53]",41
371,6,"[51, 52, 53]",52
120,43,"[51, 52, 53]",46
167,28,"[51, 52, 53]",28
326,30,"[51, 52, 53]",27
372,28,"[51, 52, 53]",28
348,5,"[51, 52, 53]",35
486,28,"[51, 52, 53]",28
304,28,"[51, 52, 53]",28
122,28,"[51, 52, 53]",28
392,38,"[51, 52, 53]",44
53,16,"[51, 52, 53]",16
395,28,"[51, 52, 53]",28
1569,43,"[51, 52, 53]",12
211,43,"[51, 52, 53]",21
347,38,"[51, 52, 53]",11
280,43,"[51, 52, 53]",31
324,38,"[51, 52, 53]",38
257,43,"[51, 52, 53]",6
279,2,"[51, 52, 53]",49
303,30,"[51, 52, 53]",30
97,43,"[51, 52, 53]",43
