Satellite,Final Gateway Assigned,Predicted 3 Gateways,Actual Gateway
461,46,"20, 50, 47",20
1547,14,"34, 16, 50",53
28,7,"5, 3, 46",5
143,15,"27, 30, 19",30
483,41,"45, 17, 36",36
1456,1,"20, 17, 42",42
278,24,"12, 38, 51",41
1524,27,"47, 25, 52",52
165,24,"31, 43, 9",31
210,51,"46, 39, 5",5
97,50,"6, 33, 21",21
74,12,"33, 21, 6",43
187,20,"5, 8, 39",39
1433,39,"36, 32, 17",17
415,0,"10, 47, 20",10
75,33,"27, 14, 16",26
507,21,"53, 0, 37",37
1408,25,"2, 23, 40",23
508,41,"1, 28, 48",48
325,51,"21, 4, 33",4
1570,31,"50, 37, 53",15
211,38,"30, 43, 31",33
302,28,"35, 6, 33",6
50,37,"3, 2, 40",40
439,10,"4, 16, 34",16
255,44,"41, 39, 49",39
1432,35,"51, 10, 11",49
416,19,"35, 52, 25",4
1545,35,"23, 8, 3",3
96,32,"3, 9, 8",3
348,38,"4, 30, 19",4
1548,33,"0, 24, 13",13
1363,28,"49, 41, 7",7
1525,36,"0, 13, 24",0
1410,29,"17, 36, 32",32
393,14,"35, 46, 22",22
303,37,"1, 48, 28",28
209,50,"40, 23, 7",7
279,43,"35, 6, 46",9
462,26,"27, 29, 14",14
280,13,"1, 19, 28",28
164,23,"3, 40, 23",23
1409,19,"38, 12, 11",12
98,41,"27, 1, 26",1
553,28,"14, 29, 26",14
323,32,"49, 41, 18",18
438,1,"52, 20, 47",47
552,10,"0, 13, 24",13
575,40,"0, 24, 13",13
6,33,"33, 25, 35",35
256,9,"8, 46, 3",8
484,17,"42, 37, 50",50
529,50,"13, 42, 24",24
27,26,"40, 3, 2",2
1499,30,"3, 40, 2",2
30,53,"26, 14, 29",29
1455,49,"11, 10, 22",11
52,18,"27, 4, 16",27
1386,45,"49, 51, 38",51
121,29,"26, 1, 48",48
1364,8,"18, 45, 44",44
1546,32,"11, 12, 5",5
1501,20,"52, 25, 47",25
1502,3,"42, 24, 0",0
1522,43,"2, 3, 40",40
5,20,"9, 43, 5",2
119,37,"43, 8, 9",9
73,35,"8, 40, 3",40
166,36,"27, 19, 1",1
301,34,"12, 11, 38",38
1569,17,"35, 22, 46",46
29,42,"33, 4, 34",34
1568,2,"39, 8, 9",39
120,47,"30, 19, 31",19
1341,22,"44, 41, 18",18
232,2,"39, 23, 7",7
394,21,"28, 27, 1",1
440,28,"18, 48, 28",28
1431,16,"39, 7, 23",23
51,45,"21, 46, 6",8
417,22,"28, 1, 48",48
1387,50,"44, 36, 45",45
212,7,"1, 48, 28",28
7,1,"29, 53, 15",29
141,47,"23, 2, 40",40
235,8,"18, 48, 28",28
349,5,"25, 22, 28",28
189,11,"28, 1, 48",28
1523,21,"51, 35, 11",3
326,18,"25, 48, 28",28
257,14,"31, 19, 30",19
346,52,"18, 38, 44",44
531,30,"11, 48, 28",28
144,22,"1, 48, 28",28
530,4,"0, 29, 15",15
188,8,"31, 21, 43",31
1477,18,"51, 49, 12",12
1500,48,"51, 11, 12",51
392,32,"36, 45, 10",38
371,30,"19, 1, 27",27
1454,36,"5, 39, 49",49
369,13,"51, 44, 38",41
485,38,"1, 14, 26",26
234,37,"19, 31, 30",30
142,6,"3, 8, 43",43
233,24,"39, 12, 46",46
