unique_satellite_id,predicted_gateway,actual_gateway_id,assigned_cells,actual_cell_ids
75,4,4,"[2313, 2323, 2373, 2382, 2389, 2394, 2407, 2424, 2437, 2449, 2452, 2458, 2464, 2521, 2560, 2562, 2598, 2603, 2610, 2620, 2627, 2629, 2635, 2666, 2827, 2835, 2859, 2861, 2877, 2879, 2885, 3039, 3053, 3054, 3096, 3124, 3255, 3312, 3316, 3332, 3344, 3361, 3381, 3454, 3474, 3507, 3516, 3546, 3559, 3563, 3609, 3612, 3614, 3632, 3676, 3702, 3704, 3706, 3729, 3743, 3808, 3857, 3906, 3908, 3918, 3922, 3960, 3965, 4063, 4073, 4098, 4100, 4120, 4175, 4192, 4209, 4214, 4226, 4236, 4247, 4267, 4295, 4337, 4338, 4341, 4344, 4401, 4449, 4462, 4521, 4531, 4559]","[28, 38, 45, 251, 278, 311, 339, 351, 360, 398, 428, 442, 444, 475, 522, 556, 561, 572, 629, 650, 720, 774, 819, 828, 881, 889, 915, 918, 1013, 1024, 1099, 1179, 1193, 1231, 1330, 1443, 1467, 1494, 1593, 1780, 2027, 2102, 2125, 2214]"
76,14,14,"[20, 67, 73, 93, 226, 276, 372, 435, 456, 485, 495, 505, 580, 601, 641, 649, 713, 748, 802, 870, 911, 916, 1001, 1107, 1109, 1118, 1212, 1216, 1516, 1529, 1550, 1661, 1734, 1836, 1864, 1909, 1945, 1992, 2020, 2184, 2198, 2254, 2291, 2369]","[1864, 1992, 1995, 2020, 2254, 2321, 2369, 2431, 2469, 2519, 2525, 2534, 2545, 2561, 2686, 2698, 2851, 2893, 2932, 3209, 3375, 3447, 3464, 3469, 3538, 3576, 3577, 3583, 3623, 3789, 3932, 3962, 3968, 4048, 4091, 4164, 4183, 4185, 4292, 4315, 4348, 4372, 4421]"
96,2,2,[],"[1008, 1275, 1402, 1486, 1497, 1939, 2079, 2174, 2183, 3221, 3933, 4193, 4200, 4262, 4370, 4430]"
97,8,8,[],"[78, 128, 220, 254, 369, 600, 632, 750, 761, 827, 846, 890, 946, 1004, 1005, 1083, 1139, 1227, 1262, 1371, 1433, 1538, 1639, 1777, 1787, 1820, 1946, 2010, 2257, 2331, 2340, 2541, 2583, 2585, 2659, 2714, 2803, 2848, 3283, 3427, 3438, 4257]"
98,19,19,[],"[191, 304, 317, 364, 482, 578, 985, 1016, 1035, 1112, 1116, 1128, 1218, 1251, 1447, 1460, 1488, 1523, 1758, 1796, 1903, 1940, 2071, 2120, 2136, 2142, 2151, 2213, 2285, 2323, 2345, 2449, 2601, 2603, 2666, 2729, 2879, 2996, 3054, 3205, 3381, 3474, 3507, 3529, 3546, 3563, 3612, 3632, 3676, 3706, 3743, 4057, 4295, 4302, 4408, 4531, 4559]"
99,48,48,"[229, 261, 270, 384, 438, 447, 672, 675, 908, 959, 1119]","[834, 844, 852, 1603, 1688, 2253, 2807, 2816, 2940, 3297, 3358, 3597, 3624, 4049, 4050, 4096, 4424, 4500]"
119,40,40,"[3690, 3693, 3807, 3815, 3823, 3912, 4184, 4193, 4200, 4211, 4219, 4262, 4280, 4287, 4370, 4413, 4418, 4422, 4510, 4522]","[62, 593, 643, 907, 938, 1286, 1856, 1996, 2503, 2823, 3171, 3373, 3397, 3571, 3618, 3680, 3916, 4131, 4219, 4519]"
120,9,9,"[41, 104, 200, 204, 254, 258, 299, 600, 779, 803, 827, 829, 846, 861, 887, 890, 934, 1004, 1029, 1159, 1433, 1598, 1627, 1680, 1700, 1707, 1724, 1955, 2316, 2326, 2470, 2535, 2573, 2580, 2884, 2903, 2911, 3043, 3125, 3199, 3246, 3319, 3340, 3405, 3647, 3923, 3985, 4072, 4109, 4166, 4316, 4377, 4398, 4524]","[58, 147, 207, 320, 523, 546, 648, 858, 1265, 1334, 1485, 1662, 1817, 1913, 2093, 2234, 2368, 2484, 2488, 2605, 2911, 3256, 3366, 3405, 3539, 3971, 4141, 4316]"
121,27,27,"[386, 1596]","[101, 256, 294, 341, 402, 407, 443, 595, 697, 718, 776, 910, 972, 1185, 1320, 1340, 1410, 1502, 1725, 1821, 2089, 2225, 2373, 2382, 2429, 2458, 2516, 2745, 2820, 2827, 2861, 2885, 3039, 3053, 3295, 3401, 3432, 3701, 3709, 3811, 3915, 4067, 4073, 4085, 4175, 4202, 4331, 4339, 4433]"
122,28,28,[],"[270, 790, 1764, 2411, 2589, 2945, 3601, 3602, 4396]"
