sat_id,latitude,longitude,altitude,predicted_gateway,predicted_cells
438,33.30783353306083,-98.24947986010666,545.0962459665668,32,"[79, 162, 203, 352, 653, 681, 1257, 1686, 2366, 2451, 2529, 3094, 3122, 3292, 3365, 3897, 4179]"
439,43.5001286140329,-82.41860067440106,547.1859549574488,16,"[64, 79, 162, 194, 203, 230, 352, 545, 665, 681, 789, 799, 818, 838, 965, 1003, 1040, 1144, 1149, 1167, 1257, 1264, 1436, 1441, 1652, 1681, 1786, 1931, 1989, 2237, 2248, 2249, 2299, 2388, 2445, 2451, 2456, 2869, 3019, 3083, 3094, 3365, 3720, 3896, 3897, 4029, 4080, 4179, 4213, 4361, 4532]"
1523,44.634613487720536,-105.47472465952497,547.4401975042806,46,"[79, 162, 583, 653, 681, 1257, 1529, 1945, 2451, 2650, 3094, 3365, 4118, 4179]"
120,50.91393082790562,-85.062575877835,548.8699679772591,19,"[64, 79, 162, 194, 230, 352, 681, 789, 838, 1003, 1040, 1144, 1149, 1167, 1257, 1264, 1436, 1441, 1681, 1786, 1845, 1858, 1931, 1967, 1989, 2237, 2248, 2249, 2299, 2388, 2445, 2451, 2511, 2788, 2869, 3019, 3083, 3094, 3119, 3365, 3475, 3545, 3896, 3897, 4029, 4080, 4179, 4213, 4361]"
1456,23.620587021531065,-91.88097010587605,543.6472347199178,36,"[3, 10, 36, 58, 64, 144, 162, 203, 238, 352, 364, 388, 401, 430, 450, 452, 560, 562, 625, 681, 741, 853, 855, 1002, 1092, 1101, 1102, 1116, 1136, 1161, 1167, 1188, 1196, 1218, 1226, 1257, 1279, 1436, 1465, 1607, 1615, 1623, 1652, 1686, 1717, 1766, 1786, 1824, 1871, 1931, 1973, 1997, 2046, 2069, 2085, 2092, 2093, 2224, 2237, 2252, 2280, 2314, 2352, 2366, 2451, 2456, 2474, 2491, 2521, 2527, 2529, 2531, 2565, 2606, 2607, 2704, 2729, 2783, 2788, 2818, 2855, 2873, 2910, 2915, 2918, 2946, 2978, 3055, 3094, 3108, 3120, 3122, 3128, 3226, 3237, 3434, 3549, 3618, 3657, 3703, 3775, 3802, 3831, 3840, 3858, 3870, 3882, 3897, 3902, 4116, 4175, 4179, 4203, 4208, 4312, 4334, 4474, 4500]"
461,33.46619422251783,-93.05370515559832,545.1251266229301,17,"[36, 79, 162, 203, 352, 681, 1257, 1652, 1686, 1931, 2115, 2280, 2451, 2529, 3083, 3094, 3122, 3365, 3896, 3897, 4080, 4179, 4532]"
1409,35.50628102334955,-115.07196582787384,545.5098115653631,18,"[79, 162, 209, 238, 365, 583, 653, 681, 1150, 1167, 1257, 1409, 1666, 2314, 2451, 2571, 2650, 2729, 3009, 3078, 3094, 3237, 3292, 3381, 3558, 3625, 3696, 3736, 4058, 4118, 4179, 4433]"
1478,35.04315798789549,-99.45779813876644,545.4207651324035,10,"[79, 162, 352, 653, 681, 1257, 1686, 2451, 2529, 2650, 3094, 3122, 3292, 3365, 3897, 4179]"
142,53.118983562684136,-105.5217318575326,549.3726797220999,43,"[50, 79, 162, 583, 681, 1103, 1257, 1414, 1529, 1845, 1935, 1945, 2248, 2451, 2571, 2650, 2959, 3094, 3191, 3365, 3475, 3545, 3648, 3678, 3696, 3798, 3897, 3935, 4058, 4118, 4179, 4306, 4311, 4465]"
97,50.98343944331668,-90.4052965390766,548.8858570476299,43,"[79, 126, 162, 194, 681, 1003, 1040, 1144, 1257, 1845, 1858, 1935, 2248, 2299, 2388, 2451, 2650, 2869, 3083, 3094, 3119, 3365, 3475, 3545, 3896, 3897, 4029, 4179, 4213, 4306, 4361]"
325,50.34778950954279,-88.03115157673255,548.7404958500322,33,"[79, 126, 162, 194, 230, 681, 1003, 1040, 1144, 1257, 1441, 1845, 1858, 2237, 2248, 2249, 2299, 2388, 2445, 2451, 2869, 3083, 3094, 3119, 3365, 3475, 3545, 3896, 3897, 4029, 4179, 4213, 4361]"
1545,51.27723837590317,-121.92516247328076,548.9539486163875,2,"[50, 79, 162, 209, 365, 583, 653, 681, 856, 1103, 1257, 1322, 1407, 1409, 1516, 1529, 1566, 1583, 1611, 1626, 1659, 1666, 1935, 1945, 2248, 2309, 2451, 2571, 2623, 2650, 2826, 2923, 2959, 3094, 3134, 3191, 3346, 3365, 3504, 3545, 3558, 3625, 3678, 3696, 3736, 3798, 3935, 4058, 4118, 4179, 4311, 4391, 4433]"
1433,23.79282507630553,-97.04401962759562,543.666807397261,36,"[3, 10, 36, 58, 79, 144, 162, 171, 200, 203, 238, 352, 360, 364, 388, 401, 430, 452, 533, 560, 562, 625, 681, 741, 853, 855, 943, 1002, 1011, 1101, 1102, 1116, 1167, 1172, 1188, 1218, 1257, 1279, 1436, 1504, 1607, 1615, 1619, 1623, 1652, 1686, 1717, 1766, 1786, 1788, 1871, 1926, 1931, 1964, 1973, 1997, 2046, 2069, 2085, 2092, 2093, 2224, 2237, 2252, 2280, 2285, 2314, 2352, 2366, 2451, 2456, 2491, 2521, 2527, 2529, 2531, 2565, 2606, 2607, 2666, 2704, 2729, 2873, 2910, 2918, 2936, 2978, 3094, 3108, 3122, 3124, 3128, 3226, 3237, 3242, 3292, 3425, 3434, 3549, 3603, 3616, 3618, 3775, 3831, 3882, 3902, 4116, 4179, 4203, 4334, 4406, 4500]"
369,32.83090156777571,-113.83259485622382,545.0101318835415,44,"[79, 162, 209, 238, 365, 456, 583, 653, 681, 1150, 1167, 1257, 1666, 1686, 2314, 2451, 2571, 2650, 2729, 3009, 3078, 3094, 3237, 3292, 3381, 3558, 3625, 3696, 3736, 3922, 4058, 4082, 4118, 4179, 4318, 4467]"
98,43.965343869586,-69.03863360247334,547.2894302889573,28,"[64, 79, 145, 162, 194, 203, 230, 352, 387, 545, 665, 674, 681, 735, 789, 799, 838, 890, 926, 952, 964, 965, 994, 999, 1003, 1040, 1059, 1144, 1149, 1167, 1257, 1264, 1355, 1366, 1429, 1436, 1441, 1465, 1551, 1617, 1631, 1643, 1681, 1760, 1786, 1818, 1845, 1884, 1931, 1967, 1989, 2061, 2064, 2237, 2248, 2249, 2299, 2318, 2347, 2385, 2388, 2445, 2451, 2456, 2511, 2687, 2691, 2788, 2869, 2894, 2915, 2941, 2990, 3019, 3055, 3094, 3117, 3119, 3226, 3253, 3310, 3365, 3500, 3531, 3720, 3840, 3882, 3896, 4029, 4053, 4080, 4179, 4213, 4361, 4436, 4532]"
1524,34.73268234781425,-89.05219374785247,545.3616810089949,37,"[64, 79, 162, 203, 352, 681, 1003, 1257, 1436, 1652, 1686, 1786, 2115, 2249, 2280, 2451, 2456, 2529, 3083, 3094, 3365, 3896, 3897, 4080, 4179, 4532]"
1431,45.11850186831791,-126.55966745417275,547.5489957731701,2,"[50, 79, 162, 209, 365, 583, 653, 681, 856, 1103, 1257, 1322, 1407, 1409, 1516, 1529, 1566, 1611, 1666, 1945, 2248, 2309, 2451, 2571, 2623, 2650, 2826, 2959, 3009, 3094, 3131, 3134, 3191, 3292, 3346, 3365, 3504, 3545, 3558, 3625, 3696, 3736, 3798, 4058, 4118, 4179, 4391, 4433]"
508,44.00655139020413,-61.3741800901741,547.2988533150528,28,"[79, 106, 145, 162, 203, 230, 250, 269, 316, 337, 352, 363, 387, 421, 545, 674, 681, 703, 735, 789, 799, 811, 838, 839, 842, 890, 926, 944, 952, 964, 965, 989, 994, 999, 1003, 1010, 1040, 1058, 1059, 1144, 1149, 1167, 1169, 1211, 1223, 1227, 1257, 1263, 1264, 1355, 1366, 1401, 1416, 1430, 1436, 1441, 1457, 1465, 1483, 1551, 1569, 1600, 1617, 1631, 1643, 1681, 1760, 1818, 1845, 1884, 1931, 1967, 1989, 2022, 2028, 2037, 2054, 2061, 2064, 2208, 2237, 2248, 2249, 2266, 2289, 2299, 2318, 2347, 2385, 2388, 2439, 2445, 2451, 2457, 2502, 2504, 2511, 2522, 2529, 2687, 2691, 2788, 2864, 2869, 2894, 2915, 2916, 2941, 2942, 2987, 2990, 3019, 3055, 3090, 3094, 3117, 3119, 3134, 3142, 3152, 3220, 3226, 3253, 3310, 3428, 3439, 3500, 3504, 3527, 3531, 3545, 3646, 3665, 3692, 3708, 3719, 3720, 3772, 3812, 3896, 3980, 4021, 4029, 4053, 4054, 4080, 4179, 4208, 4213, 4310, 4311, 4358, 4361, 4391, 4436, 4532, 4538]"
483,21.876504154037587,-100.23741044186887,543.4625010802112,45,"[3, 10, 36, 58, 79, 162, 171, 188, 200, 203, 215, 226, 238, 352, 360, 364, 388, 401, 430, 446, 456, 533, 560, 562, 625, 681, 741, 853, 855, 943, 997, 1002, 1011, 1099, 1101, 1114, 1116, 1167, 1172, 1188, 1196, 1218, 1257, 1279, 1436, 1470, 1488, 1504, 1551, 1590, 1607, 1615, 1619, 1623, 1652, 1686, 1717, 1766, 1780, 1788, 1817, 1865, 1871, 1926, 1931, 1964, 1973, 1997, 2046, 2069, 2085, 2092, 2093, 2224, 2237, 2252, 2280, 2285, 2314, 2352, 2359, 2366, 2424, 2451, 2491, 2510, 2521, 2529, 2531, 2565, 2583, 2606, 2607, 2666, 2729, 2755, 2873, 2910, 2918, 2925, 2936, 2978, 3064, 3094, 3108, 3122, 3124, 3128, 3226, 3237, 3242, 3292, 3425, 3434, 3549, 3603, 3616, 3618, 3775, 3831, 3882, 3902, 4033, 4116, 4138, 4175, 4179, 4203, 4301, 4318, 4334, 4341, 4406, 4467, 4474, 4480, 4500]"
393,43.24337250585896,-92.9342562125832,547.1289289816615,52,"[79, 126, 162, 681, 1003, 1040, 1257, 2248, 2299, 2388, 2451, 2650, 3083, 3094, 3365, 3896, 3897, 4080, 4179]"
